title,url,lyric,genre
Chào Em Cô Gái Lam Hồng,https://www.nhaccuatui.com/bai-hat/chao-em-co-gai-lam-hong-trung-quang.4c1CZsfRHqkb.html,xe ta bon trên những đường giữa làng quê ta băng qua bao suối đèo đồi nương mà xe ta bon ra chiến trường chào em cô gái lam hồng giữa tiếng bom gào đạn dội vẫn nghe vang vang câu hò trên đường niềm vui lớn tỏa lan trên quê ta đi thông đường để những chuyến xe ta băng băng qua hồng lĩnh ơi đỉnh cao mây vờn đã cùng em từ những đêm thức trọn nối tiếp những mạch đường quê nhà đường rộn ràng những chuyến xe qua tình nghĩa quê em sáng tỏ như ánh trăng đêm rằm tiền phương tay lái mang tình em đảm đang xe ta bon bon đi trên đường lòng vui như mở hội đường quê em êm êm đưa như thoi dệt bao tâm tình lững lờ đèn giặc dõi lửa soi để em đi thông đường kìa gà rừng vẳng gáy cuối nương vượt đèo ngang nào bạn ơi tay lái ta dồn lên lời ca hỡi cô gái trên đất lam hồng mỗi xe qua lòng em thấu tỏ dù xe anh chạy đêm chạy ngày cũng chẳng bằng tình nghĩa em vì miền nam bao yêu thương đi thông đường để những chuyến xe qua hòa chung tay lái em đã góp công ngày đêm trên tuyến đường hoành sơn một mái xuôi về hòa tình em từ những viên đá nhỏ đêm đêm lát trên đường quê nhà đường rộn ràng những chuyến xe qua tình nghĩa quê em sáng tỏ như ánh trăng đêm rằm tiền phương tay lái mang tình em đảm đang xe ta bon bon đi trên đường tiền phương đang vẫy gọi về quê hương bao thân yêu cho ta gửi lời thâm tình chào những người chẳng tiếc máu xương ngày đêm đi thông đường là nhiễu điều phủ lấy giá gương đây tình nam với nghĩa bắc thương nhau ta nào có quản chi hỡi cô gái trên đất lam hồng với bàn tay em dời non và lấp biển dù xe anh chạy đêm chạy ngày cũng chẳng bằng tình nghĩa em băng mình trong bao gian nan đi thông đường để những chuyến xe qua dồn nhanh tay lái vút tiếng hát ca chào quê em lam hồng,cach-mang
Những Ánh Sao Đêm,https://www.nhaccuatui.com/bai-hat/nhung-anh-sao-dem-trong-tan.ubg2QgB1YXfi.html,làn gió thơm hương đêm về quanh khu nhà tôi mới cất xong chiều qua tôi đứng trên tầng gác thật cao nhìn ra chân trời xa xa từ bao mái nhà đèn hoa sáng ngời bầu trời thêm vào muôn vì sao sáng tôi ngắm bao gia đình lửa ấm tình yêu nghe máu trong tim hoà niềm vui lâng lâng lời ca em ơi anh còn đi xây nhiều nhà khắp nơi nhiều tổ ấm sống vui tình lứa đôi lòng anh những thấy càng thương nhớ em dù xa nhau trọn ngày đêm anh càng yêu em càng hăng say xây cho nhà cao cao mãi ôi xinh đẹp tổ quốc của ta anh lắng nghe bao lời ân ái những bài tình ca lòng nhớ thương quê hương miền nam anh hằng tha thiết ước mong ngày mai anh sẽ đi về khắp làng quê xây những ngôi nhà tương lai dòng sông mát xanh trải quanh phố phường và nhiều công trường xây niềm vui mới khi bóng đêm trở về rực ánh đèn lên anh thấy như muôn ngàn vì sao thêu trong đêm tối em ơi tuy giờ đây hai miền còn cách xa niềm chia cắt thắt đau lòng chúng ta nhưng không thể xóa được hình bóng em dù xa nhau trọn ngày đêm anh càng yêu em càng hăng say xây cho nhà cao cao mãi ôi xinh đẹp tổ quốc của ta anh lắng nghe bao lời ân ái những bài tình ca,cach-mang
Cuộc Đời Vẫn Đẹp Sao,https://www.nhaccuatui.com/bai-hat/cuoc-doi-van-dep-sao-thanh-hoa-nsnd-ft-trong-tan.Hirsf2H3eKKw.html,tình yêu vẫn đẹp sao dù đạn bom man rợ thét gào dù thân thể thiên nhiên mang đầy thương tích dù xa cách hai ngả đường chiến dịch ta vẫn còn chung nhau một ánh trăng ngần một tiếng chim ngân một làn gió biển một sớm mai xuân trước căn hầm dã chiến thấy trời xanh xao xuyến ở trên đầu ta vẫn thầm hái hoa tặng nhau ôi trái tim việt nam như mặt trời trước ngực giữa thế kỷ hai mươi cháy rực sáng ngàn năm ngàn năm,cach-mang
Chào Em Cô Gái Lam Hồng,https://www.nhaccuatui.com/bai-hat/chao-em-co-gai-lam-hong-trung-duc-nsnd.DaJ4c44PzP75.html,xe ta bon trên những đường giữa làng quê ta băng qua bao suối đèo đồi nương mà xe ta bon ra chiến trường chào em cô gái lam hồng giữa tiếng bom gào đạn dội vẫn nghe vang vang câu hò trên đường niềm vui lớn toả lan trên quê ta đi thông đường để chuyến xe ta băng băng qua hồng lĩnh ơi đỉnh cao mây vờn đã cùng em từng đêm thức trọn nối tiếp những mạch đường quê nhà đường rộn ràng những chuyến xe qua tình nghĩa quê em sáng tỏ như ánh trăng đêm rằm tiền phương tay lái mang tình em đảm đang xe ta bon bon đi trên đường lòng vui như mở hội đường quê em êm êm đưa như thoi dệt bao tâm tình lững lờ đèn giặc dõi lửa soi để em đi thông đường kìa gà rừng vẳng gáy cuối nương vượt đèo ngang nào bạn ơi tay lái ta dồn lên lời ca hỡi cô gái trên đất lam hồng mỗi xe qua lòng em thấu tỏ dù xe anh chạy đêm chạy ngày cũng chẳng bằng tình nghĩa em vì miền nam yêu thương đi thông đường để những chuyến xe qua hòa chung tay lái em đã góp công ngày đêm trên tuyến đường xe ta bon trên những đường giữa làng quê ta băng qua bao suối đèo đồi nương mà xe ta bon ra chiến trường chào em cô gái lam hồng giữa tiếng bom gào đạn dội vẫn nghe vang vang câu hò trên đường niềm vui lớn tỏa lan trên quê ta đi thông đường để chuyến xe ta băng băng qua hoành sơn một mai xuôi về hoà tình em từ những viên đá nhỏ đêm đêm lát trên đường quê nhà đường rộn ràng những chuyến xe qua tình nghĩa quê em sáng tỏ như ánh trăng đêm rằm tiền phương tay lái mang tình em đảm đang xe ta bon bon đi trên đường tiền phương đang vẫy gọi hỡi quê hương bao thân yêu cho ta gửi lời tâm tình chào những người chẳng tiếc máu xương ngày đêm đi thông đường là nhiễu điều phủ lấy giá gương đầy tình nam với nghĩa bắc thương nhau ta nào có quản chi hỡi cô gái trên đất lam hồng với bàn tay em dời non và lấp biển dù xe anh chạy đêm chạy ngày cũng chẳng bằng tình nghĩa em băng mình trong bao gian nan đi thông đường để những chuyến xe qua dồn nhanh tay lái vút tiếng hát ca chào quê hương lam hồng hỡi la là hỡi là hỡi la là hỡi là,cach-mang
Nổi Lửa Lên Em,https://www.nhaccuatui.com/bai-hat/noi-lua-len-em-anh-tho.KNSRb2BXjTNi.html,trăng đã dậy rồi khơi bếp hồng lên nhé lá nếp rau rừng thêm ấm tình anh nuôi nổi lửa lên em đánh mỹ đêm ngày vũ trụ theo ta vào trong chiến trận có chị hằng soi sáng canh thâu ơi miền nam ơi có đêm nào ngủ được lửa chiến tranh còn bỏng đất quê mình yêu đất nước trải đường vô trong nớ đây tuyến hậu cần ta bủa lưới khắp nơi nơi ơi vũ khí ta mang đâu có là tên lửa chỉ bếp than hồng này ủ chín hơi cơm bát nước chè xanh nhẹ gối bước dồn thêm sức mạnh trên đường đi đánh mỹ nổi lửa lên em nổi lửa lên em ánh trăng sáng ngời đưa ta vào trận đánh núi rừntg xanh dồn dập bước quân hành lửa bếp than hồng mang tình em rực cháy cháy thêm nhanh đất nươớc tưng bừng nghe tuếng rừng thao thức khơi ánh lửa hồng bên suối đàn trưng reo nổi lửa lên em miếng nước ngọt ngào muối quê hương tình thương chiến trận phút ngọt bùi nhớ nắm cơm ngon ơi miền nam ơi những đêm chẳng đuốc đèn lửa trong tim rừng rực sáng trên đường đôi quang gánh nặng tình yêu đất nước hơi bếp hoàng cầm ta sưởi ấm nơi nơi ơi mỗi bát canhg chua đỡ cung đường vất vả một cánh rau rừntg còn ủ kín yêu thương nhớ nắm gạo rang đường xa chiến trận ôi tất cả tâm tình đi nhớ mãi nổi lửa lên em nổi lửa lên em đất nước tưng bừng đưa vào trận đánh núi rừng xanh dồn dập bước quân hành lửa cháy lên rồi mang tình em rực sáng sáng quê hương,cach-mang
Tình Ca Mùa Xuân,https://www.nhaccuatui.com/bai-hat/tinh-ca-mua-xuan-trong-tan-ft-thanh-hoa-nsnd.HT6n2f3IrmOJ.html,em ơi em mùa xuân đã về trên cành lá tiếng chim kêu ngọt quá cho trời xanh xanh thẳm mùi hương nào rất nghe như làn hơi ấm nghe đâu từ sâu thẳm đất chuyển mình sinh sôi trong ánh mắt em cười có màu xanh khoai sắn trong bàn tay xinh xắn có hình dòng kênh xanh mùa xuân về em ơi cơn mưa đầu mát lạ mùa xuân về em ơi nắng mới đã bay về và chúng mình yêu nhau bắt đầu từ độ ấy em đi vào xưởng máy khi trời còn hơi sương và anh lại ra đi vui như ngày hội mùa xuân biên giới súng anh gác trời xa nghe không anh mùa xuân về cùng tin chiến thắng xóm vui trong mùa nắng như gọi đồng chín vàng ngày anh đi cách xa quên sao được nỗi nhớ thương nhau dù cánh trở vẫn trọn đời tin nhau trên chiến tuyến giết thù có bàn tay anh chắc nơi hậu phương xa lắc vững vàng bàn tay em mùa xuân rồi đi qua cơn mưa hè hối hả tình ta càng thêm sâu như những hôm nào,cach-mang
Tàu Anh Qua Núi,https://www.nhaccuatui.com/bai-hat/tau-anh-qua-nui-anh-tho.cwXsqsSlTm2N.html,ði dọc việt nam theo bánh con tàu quay qua đèo hải vân mây bay đỉnh núi nhớ khi xưa qua đèo qua suối mà lòng ta mơ tàu qua núi cao ngày hôm nay thênh thang con đường lớn tàu anh đi trong yêu thương chào đón tha thiết bao niềm vui theo bánh con tàu đi là thương nhau em bắc cầu cho tàu anh tới là yêu nhau mấy suối ta cũng lội là yêu nhau mấy núi ta cũng trèo con tàu việt nam đi suốt bốn mùa xuân qua đèo hải vân mây bay đỉnh núi nhớ thương nhau em chờ anh tới là tàu anh đi vượt qua núi cao trời quê hương trong xanh như lời hát biển quê hương ru êm êm bờ cát ðưa chúng ta cùng đi ra bắc hay vào nam là thương nhau em bắc cầu cho tàu anh tới là yêu nhau mấy suối ta cũng lội là yêu nhau mấy núi ta cũng trèo,cach-mang
Việt Nam Ơi,https://www.nhaccuatui.com/bai-hat/viet-nam-oi-fm-band.ikbaSSVhPi6w.html,việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi bước giữa nắng tràn đường phố nơi tôi từ thơ bé đã giữa đất nước này niềm tin luôn căng tràn đừng lo lắng cười lên và gió qua tán cây hòa trong tiếng trẻ thơ đùa vui cười và nắng trên lá reo ngày xanh tươi sáng việt nam ơi từ nơi đồng xanh thơm hương lúa về nơi nhà cao xe giăng phố hòa một niềm tin reo ca eh oh eh oh từ nơi đảo xa mênh mông sóng về nơi đồi cao bay mây trắng một vòng tay nối tròn việt nam bao la đất trời quê hương xanh ngời xòe tay đón nắng mai cười trong mắt bao nhiêu con người chung tay xây đời niềm tin nơi một việt nam sáng tươi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi và gió qua tán cây hòa trong tiếng trẻ thơ đùa vui cười và nắng trên lá reo ngày xanh tươi sáng việt nam ơi từ nơi đồng xanh thơm hương lúa về nơi nhà cao xe giăng phố hòa một niềm tin reo ca eh oh eh oh từ nơi đảo xa mênh mông sóng về nơi đồi cao bay mây trắng một vòng tay nối tròn việt nam bao la đất trời quê hương xanh ngời xòe tay đón nắng mai cười trong mắt bao nhiêu con người chung tay xây đời niềm tin nơi một việt nam sáng tươi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi từ nơi đồng xanh thơm hương lúa về nơi nhà cao xe giăng phố hòa một niềm tin reo ca eh oh eh oh từ nơi đảo xa mênh mông sóng về nơi đồi cao bay mây trắng một vòng tay nối tròn việt nam bao la đất trời quê hương xanh ngời xòe tay đón nắng mai cười trong mắt bao nhiêu con người chung tay xây đời niềm tin nơi một việt nam sáng tươi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi việt nam hỡi việt nam ơi tự hào hát mãi lên việt nam ơi,cach-mang
Tiến Về Sài Gòn,https://www.nhaccuatui.com/bai-hat/tien-ve-sai-gon-va.dakEmF2lD5w2.html,nơi thành đô trong ánh điện quang tiếng nấc nghẹn câu cười khu nhà tranh năm cánh ngoại ô rên xiết đêm ngày quê nhà ta đau đớn lầm than sao bóp nghẹt tim người sào gòn ơi ta đã về đây ta đã về đây lướt qua nắng mưa súng bom nhịp chân đi quê hương kêu gọi tiến lên diệt quân mỹ tiến về sài gòn ta quét sạch giặc thù hướng về đồng bằng ta tiến về thành đô nước nhà còn chờ trận cuối là trận này tiến về đồng bằng giải phóng thành đô ta về quê khi ánh bình minh đang hé rạng chân trời ta về quê khi lũ ngoại xâm hấp hối tơi bời trên đường quê nghe tiếng mẹ ta đang khắc khoải mong chờ nào vượt lên mau bước đoàn quân giải phóng thành đô đứng lên phố phường đánh tan giặc ngoại xâm đứng lên ngoại thành đấu tranh giành no ấm tiến về sài gòn ta quét sạch giặc thù hướng về đồng bằng ta tiến về thành đô nước nhà còn chờ trận cuối là trận này tiến về đồng bằng giải phóng thành đô bao ngày qua tang tóc khổ đau đã biến thành căm hờn căm hờn dâng tranh đấu sục sôi dân phố xuống đường bom rền vang vang khắp thành đô tiếng súng diệt quân thù đồng bào ơi giải phóng về đây tung cánh tự do tiến lên giết giặc siết thêm chặt vòng vây tiến vô sài gòn đánh tan tành giặc mỹ tiến về sài gòn ta quét sạch giặc thù hướng về đồng bằng ta tiến về thành đô nước nhà còn chờ trận cuối là trận này tiến về đồng bằng giải phóng thành đô,cach-mang
Lời Bác Dặn Trước Lúc Đi Xa,https://www.nhaccuatui.com/bai-hat/loi-bac-dan-truoc-luc-di-xa-thu-hien-nsnd.3phqJaoCRLre.html,chuyện kể rằng trước lúc người ra đi bác muốn nghe một câu hò xứ huế nhưng không gian vẫn bốn bề lặng lẽ bác đành nằm im chuyện kể rằng bác đòi nghe câu ví nhớ làng sen từ thuở ấu thơ mà xung quanh vẫn lặng như tờ bác chờ mãi chờ mãi không thôi bác muốn nghe một câu hò huế bởi nước non chia cắt vẫn chưa liền bác muốn nghe một câu hò xứ nghệ bởi làng sen ray rứt trong tim bác muốn nghe một đôi khúc dân ca trước lúc đi xa qua bên kia bầu trời người muốn đem tận vô cùng bài ca đất nước theo bác đến mênh mông lần thứ ba bác vẫy gọi xung quanh bác muốn nghe một đôi làn quan họ ôi may sao bỗng có em gái nhỏ bước vào gần bác rồi căn phòng xao động trong nước mắt những lời ca nức nở tái tê rằng người ơi người ở đừng về bác nhìn em rơm rớm hàng mi bác muốn nghe một câu hò huế hoặc muốn nghe câu hát quê nhà bác muốn nghe một đôi làn quan họ bởi bài ca đất nước sao quên lúc chia ly lời di chúc đơn sơ bác muốn non sông đinh ninh lời hẹn thề rằng đã yêu tổ quốc mình càng yêu thắm thiết những khúc hát dân ca chuyện kể rằng trước lúc người đi xa chuyện kể rằng trước lúc người đi xa,cach-mang
