title,url,lyric,genre
Nam Quốc Sơn Hà,https://www.nhaccuatui.com/bai-hat/nam-quoc-son-ha-dtap-ft-erik-ft-rtee-ft-phuong-my-chi.qs1H9T5bFAJd.html,hò ơ con ơi con ngủ cho tròn để mẹ ngồi vót cho rồi bó chông chông này gìn giữ non sông chông này góp sức diệt quân bạo tàn hò ơ nơi trăm hoa thi nhau đua nở mảnh đất như là vàng sông núi nước nam vua nam ở giặc giữ cớ sao làm càn ông cha giữ lấy nước đại việt bao lần chiến công luôn oanh liệt với những anh hùng đại hào kiệt con cháu rồng tiên chẳng thể nằm yên khi đất nước vẫn còn nguy dòng máu rồng thiêng tự hào một khoảng trời riêng với những con người hi sinh cả xương máu đánh lũ giặc tan tành không cho đường lui và không còn nơi nương náu việt nam sinh ra tinh hoa tiếp nối truyền thống ông cha giặc đến nhà đàn bà cũng đánh chiến thắng này ắt không xa bao năm khi xưa loạn lạc dòng dõi lạc hồng vẫn sải cánh bản sắc kiên cường khi giặc đến lần nữa đánh là phải thắng là con cháu rồng tiên chữ s mảnh đất thiêng dân việt người cốt tiên chiến thắng theo cách riêng là con cháu rồng tiên chữ s mảnh đất thiêng dân việt người cốt tiên chiến thắng theo cách riêng nam quốc sơn hà nam đế cư tiệt nhiên định phận tại thiên thư như hà nghịch lỗ lai xâm phạm nhữ đẳng hành khang thủ bại hư nam quốc sơn hà nam đế cư tiệt nhiên định phận tại thiên thư như hà nghịch lỗ lai xâm phạm nhữ đẳng hành khang thủ bại hư có anh dân quân đang ship hàng freeship trên đôi vai cờ đỏ sao vàng đi tiếp có chị lao công đang quét rác all day có bác sĩ kia đang phờ phạc all night có người san sẻ từng miếng ăn khi đói có người chia nhau từng viên thuốc khi bệnh m thầm lặng lẽ chẳng tiếng than làm gì chống giặc vô hình ta tiến bước let s go việt nam chung tay không thua đâu việt nam đi qua chông gai ruộng bậc thang hàng tre búp măng non kia vẫn luôn xanh khi lũ trẻ trong xóm tung tăng là khi đại dịch xéo đi nhanh nam quốc sơn hà nam đế cư tiệt nhiên định phận tại thiên thư như hà nghịch lỗ lai xâm phạm nhữ đẳng hành khang thủ bại hư nam quốc sơn hà nam đế cư tiệt nhiên định phận tại thiên thư như hà nghịch lỗ lai xâm phạm nhữ đẳng hành khang thủ bại hư việt nam sinh ra tinh hoa tiếp nối truyền thống ông cha giặc đến nhà đàn bà cũng đánh chiến thắng này ắt không xa bao năm khi xưa loạn lạc dòng dõi lạc hồng vẫn sải cánh 2021 giặc đến lần nữa đánh là phải thắng là con cháu rồng tiên chữ s mảnh đất thiêng dân việt người cốt tiên chiến thắng theo cách riêng là con cháu rồng tiên chữ s mảnh đất thiêng dân việt người cốt tiên chiến thắng theo cách riêng,nhac-tre
Bước Qua Nhau,https://www.nhaccuatui.com/bai-hat/buoc-qua-nhau-vu.EdENCgJm9dAa.html,cuộc đời cứ trôi ta nhìn lại ngày tháng còn bên nhau cùng những thăng trầm tại sao không vẫy tay chào nơi ta đứng bây giờ hai nơi hai người dưng đợi em bước qua để khiến anh nhận ra là đôi mắt em còn đang buồn màu hoa cài áo vẫn còn như lời hứa đã từng giờ đây còn như xưa dòng người vội vàng bước qua chợt như chiếc hôn thế thôi đôi môi chia làm đôi như ta đang mong vậy thôi người nghẹn ngào bước đi chợt như chúng ta quay về giấu trái tim mình và đừng thổn thức khi thấy nhau đoàn tàu kia dừng lại còn hai ta bước qua nhau trôi đi theo mây trời từng cảm xúc trong tim anh đang cô đơn cùng với ngàn lời viết riêng cho bài ca tình đầu chỉ còn lại một thói từ lâu,nhac-tre
Câu Hứa Chưa Vẹn Tròn,https://www.nhaccuatui.com/bai-hat/cau-hua-chua-ven-tron-phat-huy-t4.tnP3A32iG5Wz.html,rồi người thương đến lúc cũng hóa thành lạ xa dù chờ mong bao năm người ta cũng chẳng về ngày biệt ly nước mắt đôi dòng chảy thành sông phải chi người thấu hết nỗi đau long mình mang từng câu hứa em khẽ bên tai vẫn chưa phai sợ những lúc men say đưa em về chốn này chẳng còn nhau đi qua bao đoạn đường vắng người trách thân anh không thể níu em dù một giây mình đã hứa yêu thật lâu suốt kiếp mãi không xa rời lời nói trên môi cũng chỉ toàn là dối lừa tình yêu xưa chỉ là quá khứ phải giữ sâu đáy lòng thương nhớ một người nơi chốn xa chẳng thương ta trời nay bỗng mưa đổ xuống làm anh tan nát lòng váy cưới xe hoa em bước đi theo chồng tình tan duyên tàn chúc em bên người ấy luôn ái ân người đã mang bao nhiêu yêu thương anh trao chỉ để lại đây mỗi nỗi nhớ vô vọng tình mình giờ cũng đã vỡ nát con tim anh xơ xác nước mắt chảy thành dòng kỷ niệm ngày bên nhau anh xin giữ kín chẳng phải để tháng năm nhẹ trôi phai nhòa vội đến để rồi quay bước đi thôi không nói thêm một chia ly từng câu hứa em khẽ bên tai vẫn chưa phai sợ những lúc men say đưa em về chốn này chẳng còn nhau đi qua bao đoạn đường vắng người trách thân anh không thể níu em dù một giây mình đã hứa yêu thật lâu suốt kiếp mãi không xa rời lời nói trên môi cũng chỉ toàn là dối lừa tình yêu xưa chỉ là quá khứ phải giữ sâu đáy lòng thương nhớ một người nơi chốn xa chẳng thương ta trời nay bỗng mưa đổ xuống làm anh tan nát lòng váy cưới xe hoa em bước đi theo chồng tình tan duyên tàn chúc em bên người ấy luôn ái ân đêm se lạnh lê bước một mình phố thành thiếu em buồn tênh say giấc mộng nghe tiếng em về tiếng em cười đôi mình nồng ấm mình đã hứa yêu thật lâu suốt kiếp mãi không xa rời lời nói trên môi cũng chỉ toàn là dối lừa tình yêu xưa chỉ là quá khứ phải giữ sâu đáy lòng thương nhớ một người nơi chốn xa chẳng thương ta trời nay bỗng mưa đổ xuống làm anh tan nát lòng váy cưới xe hoa em bước đi theo chồng tình tan duyên tàn chúc em bên người ấy luôn ái ân,nhac-tre
nằm ngủ emru,https://www.nhaccuatui.com/bai-hat/nam-ngu-emru-bich-phuong.bewbO57bCWJE.html,đừng che giấu em nhé nếu anh đang buồn người an vui thường chẳng thức đêm thức hôm mệt chuyện công việc anh muốn kể thì anh cứ kể em nghe đừng chỉ biết cố gắng mãi trong im lặng vài hôm anh mệt quá ốm đi em chăm một khi trong đời anh thấy đủ thì ta thấy đủ thôi anh nằm bên cạnh em nhắm mắt lại đừng thao thức chong chong đêm dài quên tạm đi trái ngang quên lòng người dối gian quên được và mất mát ngủ đi ngủ ngon nhé anh yêu thả trôi hết đi biết bao điều trôi vào trong giấc mơ mơ mọc đôi cánh bay ngả lưng trên đám mây đừng che giấu em nhé nếu anh đang buồn người an vui thường chẳng thức đêm thức hôm mệt chuyện công việc anh muốn kể thì anh cứ kể em nghe đừng chỉ biết cố gắng mãi trong im lặng vài hôm anh mệt quá ốm đi em chăm một khi trong đời anh thấy đủ thì ta thấy đủ thôi anh ở trên này anh thấy những gì đừng chỉ nói xung quanh mây bay khi mà anh bé thơ vô tình anh ngước lên sẽ nhìn ra thứ khác nhìn ra hình con cá con thuyền nhìn ra biết bao thứ luyên thuyên nhưng vì sao lớn hơn ta tưởng tượng ít hơn và lại vui ít hơn,nhac-tre
Lạc Thời,https://www.nhaccuatui.com/bai-hat/lac-thoi-hai-luu.YglegriUS0bm.html,làm bạn với men cay đôi chân lê dài về cuối con đường hỏi trời cao bao lâu nay không thấy lệ vương nhớ những tháng ngày không lo sợ đời ra sao rồi đến một ngày cuộc sống lại lao đao thời này dành cho ai có dành cho ta một kẻ vô tư yêu thích tự do thật thà không gian ngoan không biết lo toan bước chân ra đời làm việc không thôi mong cho ngày sau người ta đặt chỗ cho ngồi sao không ai trông thấy tôi trôi đi trôi đi cho qua đi những tháng ngày quẩn quanh con tim vô tư vui lên đi khi mái đầu còn xanh không ganh không đua không lo toan tâm tư không buồn chán thật thà làm bạn với ta gian dối như kẻ xa lạ một mình lặng ngắm mưa rơi thầm cám ơn ông trời bước ra cuộc đời những cơn mơ xa rời rồi thay vào đó là những thực tại quẩn quanh quẩn quanh mãi vẫn sai lạc chân vào thời ai cũng mải mê với cuộc sống chạy trên con đường dài mãi không dừng mặt trời trên cao soi sáng tâm hồn cuộc sống có ra sao tình yêu còn mãi ngọn lửa trong tim hãy cháy lên như mặt trời và đốt cháy lên cuộc sống vô thường trôi đi trôi đi cho qua đi những tháng ngày quẩn quanh con tim vô tư vui lên đi khi mái đầu còn xanh không ganh không đua không lo toan tâm tư không buồn chán thật thà làm bạn với ta gian dối như kẻ xa lạ một mình lặng ngắm mưa rơi xin cám ơn ông trời,nhac-tre
Cưới Thôi,https://www.nhaccuatui.com/bai-hat/cuoi-thoi-masew-ft-masiu-ft-b-ray-ft-tap.SQTZSysfmPRJ.html,ma bae ma bae làm sao cho anh đến đây và hỏi cưới em mới hay ma bae ma bae mẹ anh bảo rằng chẳng thích em nên anh cứ mãi phân vân giống như bao cô thôi mà tìm mãi mới gặp được anh mà chúng ta nhau lâu rồi cũng đã ôm hôn nhau luôn rồi giống như bao lời anh hứa giấu mọi người làm chi nữa người giả vờ không em để em phải đau buồn hơn cưới em đi anh ơi giờ em chẳng muốn lôi thôi đợi khi 2 vạch mới cưới khôn như anh quê em đầy cưới em đi anh ơi về nhà rồi chúng ta chơi vì em thương nên mới thế anh có ra sao vẫn mê cưới đi thôi anh ơi yeahhhh oh oh oh ta cưới nhau thôi anh ơi yeahhhh oh oh oh người ơi người đâu gặp gỡ làm chi khi nào kiệu đỏ được rước nàng đi song gia chú bác bạn dì góp mặt chung vui vào ngày hoan hỉ con gái là con gái rượu đây là phi vụ cả trăm ngàn tỷ sính lễ cũng chẳng có gì một chai rượu mật một tấn vàng y em ơi em ơi mình cưới nhau đi kể từ cái ngày sét đánh không chết thì em đã kết lấy em về nhà chốt sổ vậy luôn cho bớt cồng kềnh ngày mà em va vào cuộc đời anh phá tan cô đơn và đã không đền là em đã nợ cả đời cả kiếp nợ thằng cu tí mình cưới nhau đi ma bae ma bae mẹ anh bảo rằng chẳng thích em nên anh cứ mãi phân vân yeah eh ehh ma bae ma bae kệ ai mặc ai có nói cũng chẳng quan tâm thế cho nhanh giờ tính sao ohhhhh oh ohhhh,nhac-tre
từ chối nhẹ nhàng thôi (liu riu version),https://www.nhaccuatui.com/bai-hat/tu-choi-nhe-nhang-thoi-liu-riu-version-bich-phuong-ft-phuc-du.vn7sWGwkcKmQ.html,tình cảm này khó nói nếu thật sự chẳng thể giấu nữa thôi đừng lo em hứa rằng sẽ từ chối anh nhẹ nhàng tình cảm này khó nói nếu thật sự chẳng thể né tránh nói thật nhanh đi anh để em từ chối anh nhẹ nhàng thôi ta thường mơ về một thoáng chốc được bên nàng tâm hồn say lạc giữa thành phố một đêm vàng dưới ánh đèn đường hiu hắt tương tư văng vẳng không im nàng chỉ gửi một ánh mắt ta đã trao cả con tim giữa biển người nhưng anh chỉ có em trong mắt giữa một rừng thanh âm chỉ nghe thấy tiếng em trong vắt đêm xuống tâm tư anh là nhà giam với nỗi nhớ về em là song sắt nhưng tình cảm đâu phải nhành cây nên nó đâu có dễ ta như vai áo em buông bởi vì ta quá trễ giờ đến và cướp em đi là điều ta không được làm vì sợi tơ hồng đang buộc ta nó lại không buộc nàng nên nếu em không thể đưa ra lựa chọn thì xin em hãy sớm đẩy anh đi xa nếu bờ môi ấy không thể cho anh vị ngọt thì em hãy để nó buông cho anh lời vị tha ở bên anh em thấy trái tim thổn thức cứ không thể dứt babe nhưng ta không nên xem chương tiếp theo vì chuyện tình này có kết cục buồn mà em không mong muốn thấy anh buồn bã thế đâu dừng bước đi anh đôi khi em bâng khuâng khi nghĩ rằng sự thật là mình không thể bên nhau anh vẫn cần em nhiều lắm như một rừng cây ở giữa trời đông đang cần một chiều nắng nàng lạnh lùng như tảng băng trôi khi ở xa mà ta nhìn ngắm anh đâu phải titanic sao cứ gặp em là anh chìm đắm ta đã cố tìm cách khác nhưng nó không nằm trong sách vở cách duy nhất mà ta có dường như chỉ là cách trở em như là một cơn nghiện vẫn dày vò anh nhiều quá nàng đã cho ta có cửa nhưng sao lại tiếc cái chìa khóa vì thương nàng nên giấc không yên ta vẫn chẳng thể nào ngủ lí trí là đứa nhân viên vì nó thật khó để làm chủ đếm từng ngày xa lòng ta nặng nề như đá đổ anh mang tình cảm lớn người ta bảo là quá khổ không có nơi nào có thể là vườn địa đàng nếu như nơi đó em không thể ở gần anh anh chẳng muốn nghe một lời từ chối nhẹ nhàng hãy cho hi vọng của anh một cái chết thật nhanh thôi người có thể hờn trách em khi mà em luôn thức đêm bỏ mặc anh trong giấc mơ ngày hay đêm vẫn mơ hoặc có thể quên lãng em khi mà em không dắt tay anh vào trong nơi trái tim bỏ mặc anh đứng im tình cảm thật khó nói em nhìn anh mà lòng bối rối muộn màng rồi anh ơi bởi vì người đến sau mất rồi vào một ngày nắng tắt lỡ nhận trao nhầm một ánh mắt cô là người đáng trách kẻ tình si đánh quên lại là anh,nhac-tre
Giờ Mới Thấy Hối Hận,https://www.nhaccuatui.com/bai-hat/gio-moi-thay-hoi-han-tri-kien-ft-son2m.YHKXLdHG3yty.html,sau đêm nay mọi chuyện sẽ chấm dứt kết thúc rồi khi ta quay lưng về nhau là do anh hay tại vì ai kia khiến cho em vui hơn khi bên cạnh anh nhạt nhòa đến mức này sao vì sao anh không thể nhận ra cứ nghĩ tương lai mai sau hai ta vẫn đắm say có lẽ anh đã sai thay vì không thương em nhiều hơn lúc đầu mà lại vô tâm khi em cần anh nhất em về với người ta mất rồi mới nhận ra anh quá ơ thờ để lạc mất em con tim giờ thấy hối hận,nhac-tre
Em Đã Yêu Người Khác Rồi,https://www.nhaccuatui.com/bai-hat/em-da-yeu-nguoi-khac-roi-cao-nam-thanh.ZjhJVYGX2eth.html,chắc giờ em đã bên người khác rồi chuyện tình yêu đâu ai mong muốn mình dư thừa anh biết anh chẳng tương lai bên nhau chẳng có lâu dài ở nơi anh chỉ mang thêm bao điều chở ngại nếu như là anh em phải thế nào dù mạnh mẽ nhưng anh không ngăn được nước mắt người thứ ba vào cuộc chơi và anh xin hóa vô hình để anh ta thay anh trọng trách cuộc đời vì giờ anh hiểu ra được một điều là đớn đau và mất nhau có lẽ anh chẳng thế nào bằng người đến sau và dù anh cố níu tay không để buông lơi thì em cũng xa rời nói thương suốt đời mà sao chẳng thể người ơi tận tụy lo bản thân anh chưa thành thì lấy đâu những ấm êm thế nên anh buồn và âm thầm ở phía sau hãy về nơi ấy em sẽ tốt đẹp tương lai và anh sẽ ở lại chính nơi anh từng cùng em yên bình,nhac-tre
Duyên Tại Ý Trời,https://www.nhaccuatui.com/bai-hat/duyen-tai-y-troi-bang-cuong.197SGetwTMXn.html,ta ngồi đây chờ ai đợi ai với nỗi cô đơn lòng càng đau hơn đêm dài trông hoài mong từ khi người cất bước đi ôi biệt ly bóng tối ngập tràn trong cơn say cứ ngỡ người về tay trong tay bao lâu nay tháng ngày cứ đọa đày duyên trời đã cho ta gặp gỡ nhưng cớ sao ta lại vội chia xa ta còn yêu còn thương còn đang chìm đắm giấc mộng về một người ta thấy buồn tình duyên mong manh ta thấy sầu tình trôi qua nhanh đã bao lâu yêu thương không thành câu có duyên cùng nhau hết duyên càng đau phải chăng là duyên ý trời khúc sầu biệt ly khóc tràn bờ mi đường về mây giăng kín lối mới yêu ngày qua đến nay rời xa tự trách duyên số đôi ta hết yêu còn thương tình duyên mong manh mờ lối tình sâu duyên đậm đến đâu tình sâu duyên mỏng phải chăng khi gặp nhau là duyên là do ý trời an bài cho phải chăng khi thời gian mờ phai làm sai bước ta trên con đường nhiều khi tâm hồn ta tựa như ngàn muôn cánh hoa đang rụng rơi người ơi sao đành buông vội nhanh bàn tay đang nắm chặt đôi tay người giữa cuộc đời,nhac-tre
