title,singer,lyric,genre
Rừng Đom Đóm,The Cassette, hiện chưa có lời bài hát nào cho rừng đom đóm do ca sĩ the cassette trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Espresso,The Cassette, hiện chưa có lời bài hát nào cho espresso do ca sĩ the cassette trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Trời Cao Biển Rộng,Ngọc Hà,verse 1 ăn no thật no ngủ ngoan con ơi yên tâm học chăm chớ lo về mẹ câu nói thân bôn ba hàng rong ốm o liu xiu bao nhiêu nhọc lao vẫn luôn tươi cười về nhà gặp con dề mưa nắng sớm tối dòng đời ngược xuôi kín lối chorus thời gian xin ngừng tàn nhẫn vô chừng ngày con sáng soi thay ai le lói chiều tà mẹ khoẻ con à sầu nghĩ mau già dù con lớn khôn luôn nghe câu nói ngày nào tình mẹ bao la trời cao biển rộng từ còn bé thơ cho đến lúc lớn nên người về sau mãi sau biển kia cạn hết tận cùng non nước mẹ luôn yêu thương verse 2 lo toan việc công thức xuyên đêm thâu thanh xuân còn đâu mái tóc bạc màu lo lắng tương lai cao sang mộng mơ vẽ nên con đây thương con mẹ khẽ giấu đi dòng lệ những lúc mẹ đau gánh con đêm ngày cơm áo gạo tiền không bao giờ thiếu gánh luôn em này xương máu mồ hôi thấm đôi bờ vai nụ cười trên môi chorus outro orchestra lòng ngưởi thay đổi sóng lớn đại dương khiến con mỏi mệt thất hướng lạc phương mẹ liền dang tay ôm con kéo về về nhà đi con ngoài kia bão lớn đừng ngại giông tố hãy cứ bình yên sức con phục hồi bước tiếp thành công đồng hành qua bao phong ba thét gào cầu vồng mẹ trao lung linh nắng sớm thắp lên ngọn lửa trong tim con hồng nhắc con phải thiện lương í a với muôn điều giáo dưỡng bao năm ròng lời mẹ hòa nên khúc ca một chiều xưa ấy khi con thấy tâm trạng lung lay con nung nấu những điều không hay thì mẹ đã đến bên con thì thầm vào tai rất êm,rock-viet
Hoa Hướng Dương,GMEZ,anh và em như đôi chim uyên tìm được nhau tim được nhau cuộc đời dù bão táp phong ba chỉ cần có nhau ta mặc kệ khổ đau lâu đài tình yêu ta đứng bên cửa sổ hạnh phúc nhìn về phía mặt trời như là hoa hướng dương chưa từng lay rồi đến một ngày tình yêu đơm hoa kết trái từng ngày từng giờ từng phút từng giây anh nhớ emmm dù ngày tháng năm dài ko phai nhòa bóng hình em mãi luôn bên em mãi luôn yêu em luôn hướng về em như là hoa hướng dương rồi đến một ngày bóng tối bao trùm quanh em và anh phải ra đi phải ra đi về một nơi xa lâu đài ngày đó vẫn thế nhưng bây giờ chỉ còn mình em lẻ loi anh yêu em nhưng xin lỗi em là điều anh muốn nói,rock-viet
Làm Sao Làm Sao Giờ Không Biết Luôn Á Đau Lòng Thiệt,DÍNH, hiện chưa có lời bài hát nào cho làm sao làm sao giờ không biết luôn á đau lòng thiệt do ca sĩ dính trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Hàng Ghế Đầu,Tô Khương, hiện chưa có lời bài hát nào cho hàng ghế đầu do ca sĩ tô khương trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Nỗi Buồn Vô Cớ,Khải Nguyễn,có những lúc một mình bước chân về đâu có những phút một mình nỗi đau ơ thờ có những lúc cuộc đời bỗng dưng lặng câm mãi đau âm thầm có những lúc nụ cười hé trên bờ môi có những lúc cuộc đời xóa tan hy vọng đôi khi cứ muốn buông bỏ tất cả ngồi một mình trong góc tối u buồn điệp khúc đừng đưa tôi tới đừng mang tôi tới mãi xa vời buồn sao vô cớ hồn sao băng giá cuối chân trời lời thương không tới bàn tay chới với giữa cuộc đời bình minh chưa tới hoàng hôn buông xuống đời tôi buồn sao vô cớ trả lại nụ cười tôi cố giữ bấy nhiêu ngày chặng đường mà tôi cố vượt qua buồn ơi sao cứ níu kéo bao cơn mơ ngày càng xa mãi trả yên bình trở lại cùng tôi,rock-viet
Thiên Cổ,"MicroWave, Võ Lâm Truyền Kỳ", hiện chưa có lời bài hát nào cho thiên cổ do ca sĩ microwave võ lâm truyền kỳ trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Nắng,The Cassette, hiện chưa có lời bài hát nào cho nắng do ca sĩ the cassette trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Vết Nhơ,Đông Đô, hiện chưa có lời bài hát nào cho vết nhơ do ca sĩ đông đô trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
