title,url,lyric,genre
Chúc Bé Ngủ Ngon,https://www.nhaccuatui.com/bai-hat/chuc-be-ngu-ngon-be-minh-vy.8miN5yqiqMUg.html,bé ơi ngủ đi đêm đã khuya rồi để những giấc mơ đẹp sẽ luôn bên em bé ơi ngủ ngoan trong tiếng ru ời vầng trăng đợi em cùng bay vào giấc mơ à ơi à ơi à à ơi chúc bé ngủ ngon,thieu-nhi
Con Cò Bé Bé,https://www.nhaccuatui.com/bai-hat/con-co-be-be-be-thao-van.FocAB1LT4saL.html,nó đậu cành tre đi không hỏi mẹ biết đi đường nào khi đi em hỏi khi về em chào miệng em chúm chím mẹ yêu không nào,thieu-nhi
Một Con Vịt,https://www.nhaccuatui.com/bai-hat/mot-con-vit-be-minh-vy.4Kv89kKTTH9Q.html,một con vịt xòe ra hai cái cánh nó kêu rằng các các các cạc cạc cạc gặp hồ nước nó bì bà bì bõm lúc lên bờ vẫy cái cánh cho khô một con vịt xòe ra hai cái cánh nó kêu rằng các các các cạc cạc cạc gặp hồ nước nó bì bà bì bõm lúc lên bờ vẫy cái cánh cho khô một con vịt xòe ra hai cái cánh nó kêu rằng các các các cạc cạc cạc gặp hồ nước nó bì bà bì bõm lúc lên bờ vẫy cái cánh cho khô một con vịt xòe ra hai cái cánh nó kêu rằng các các các cạc cạc cạc gặp hồ nước nó bì bà bì bõm lúc lên bờ vẫy cái cánh cho khô,thieu-nhi
Ba ngọn Nến Lung Linh,https://www.nhaccuatui.com/bai-hat/bangon-nen-lung-linh-candy-ngoc-ha.dxww06pRi4Tz.html,ba là cây nến vàng mẹ là cây nến xanh con là cây nến hồng ba ngọn nến lung linh a à á a a thắp sáng một gia đình gia đình gia đình ôm ấp ta những ngày thơ cho ta bao nhiêu niềm thương mến gia đình gia đình vương vấn bước chân ra đi ấm áp trái tim quay về gia đình gia đình ôm ấp ta những ngày thơ cho ta bao nhiêu niềm thương mến gia đình gia đình bên nhau mỗi khi đơn độc bên nhau đến suốt cuộc đời lung linh lung linh tình mẹ tình cha lung linh lung linh cùng một mái nhà lung linh lung linh cùng buồn cùng vui lung linh lung linh hai tiếng gia đình,thieu-nhi
Con Cò Bé Bé,https://www.nhaccuatui.com/bai-hat/con-co-be-be-candy-ngoc-ha.GOfmwviGIPWB.html,nó đậu cành tre đi không hỏi mẹ biết đi đường nào khi đi em hỏi khi về em chào miệng em chúm chím mẹ yêu không nào,thieu-nhi
Tập Thể Dục Buổi Sáng,https://www.nhaccuatui.com/bai-hat/tap-the-duc-buoi-sang-be-thao-van.RSP1q6OhfBrt.html,cô dạy em bài thể dục buổi sáng một hai ba bốn hít thở hít thở hít thở một tay đưa cao lên trời hai tay dang ngang bờ vai ba tay song song trước mặt bốn buông cả hai tay cô dạy em bài thể dục buổi sáng một hai ba bốn hít thở hít thở hít thở một tay đưa cao lên trời hai tay dang ngang bờ vai ba tay song song trước mặt bốn buông cả hai tay cô dạy em bài thể dục buổi sáng một hai ba bốn hít thở hít thở hít thở một tay đưa cao lên trời hai tay dang ngang bờ vai ba tay song song trước mặt bốn buông cả hai tay cô dạy em bài thể dục buổi sáng một hai ba bốn hít thở hít thở hít thở một tay đưa cao lên trời hai tay dang ngang bờ vai ba tay song song trước mặt bốn buông cả hai tay cô dạy em bài thể dục buổi sáng một hai ba bốn hít thở hít thở hít thở một tay đưa cao lên trời hai tay dang ngang bờ vai ba tay song song trước mặt bốn buông thẳng hai tay cô dạy em bài thể dục buổi sáng một hai ba bốn hít thở hít thở hít thở một tay đưa cao lên trời hai tay dang ngang bờ vai ba tay song song trước mặt bốn buông cả hai tay,thieu-nhi
Quả Gì,https://www.nhaccuatui.com/bai-hat/qua-gi-be-minh-vy.jIUI0bT50VTs.html,quả gì mà chua chua thế xin thưa rằng quả khế ăn vào thì chắc là chua vâng vâng chua thì để nấu canh chua quả gì mà da cưng cứng xin thưa rằng quả trứng ăn vào thì nó làm sao không sao ăn vào thì sẽ thêm cao quả gì mặc bao nhiêu áo xin thưa rằng quả pháo ăn vào thì chắc là dai không dai nhưng mà nổ điếc hai tai quả gì mà lăn lông lốc xin thưa rằng quả bóng sao mà quả bóng lại lăn do chân bao người cùng đá trên sân quả gì mà gai chi chít xin thưa rằng quả mít ăn vào thì chắc là đau không đau thơm lừng tận mấy hôm sau quả gì mà to to nhất xin thưa rằng quả đất to bằng quả mít mật không to hơn to bằng nghìn núi thái sơn,thieu-nhi
Cả Nhà Thương Nhau,https://www.nhaccuatui.com/bai-hat/ca-nha-thuong-nhau-be-thao-van.P4WmFYA3UKyL.html,ba thương con vì con giống mẹ mẹ thương con vì con giống cha cả nhà ta cùng thương yêu nhau xa là nhớ gần nhau là cười ba thương con vì con giống mẹ mẹ thương con vì con giống cha cả nhà ta cùng thương yêu nhau xa là nhớ gần nhau là cười,thieu-nhi
Cháu Yêu Bà,https://www.nhaccuatui.com/bai-hat/chau-yeu-ba-be-thao-van.kKkukw00gcfE.html,bà ơi bà cháu yêu bà lắm tóc bà trắng bà trắng như mây cháu yêu bà cháu nắm bàn tay khi cháu vâng lời cháu biết bà vui,thieu-nhi
Gà Trống Mèo Con Và Cún Con,https://www.nhaccuatui.com/bai-hat/ga-trong-meo-con-va-cun-con-be-thao-van.uqqmU14fIAK5.html,nhà em có con gà trống mèo con và cún con gà trống gáy ò ó o mèo con luôn rình bắt chuột cún con chăm canh gác nhà,thieu-nhi
