title,url,lyric,genre
Xóm Đêm,https://www.nhaccuatui.com/bai-hat/xom-dem-le-quyen.bvJHKGa3IBAL.html,đường về canh thâu đêm khuya ngõ sâu như không mầu qua phên vênh có bao mái đầu hắt hiu vàng ánh điện câu đường dài không bóng xa nghe tiếng ai ru mơ màng mưa rơi rơi xóa lối đi mòn có đôi lòng vững chờ mong ai chia tay ai đầu xóm vắng im lìm ai rung lên tia mắt ngàn câu êm đềm mong sao cho duyên nghèo mai nắng gieo thêm đẹp kiếp sống thêm màn đêm tịch liêu nghe ai thoáng ru câu mến trìu nghe không gian tiếng yêu thương nhiềụ hứa cho đời thôi đìu hiu đêm tha hương ai vọng trông đêm cô liêu chinh phụ mong đêm bao canh mưa âm thầm theo gió về khua cơn mộng hẹn mai ánh xuân nồng cho nên đêm còn dậy hương để dìu bước chân ai trên đường để nhìn xóm khuya không buồn vì người biết mang tình thương,tien-chien
Đêm Đông,https://www.nhaccuatui.com/bai-hat/dem-dong-le-quyen.1YIKQCwjFIxG.html,chiều chưa đi màn đêm rơi xuống đâu đấy buông lững lờ tiếng chuông đôi cánh chim bâng khuâng rã rời cùng mây xám về ngang lưng trời thời gian như ngừng trong tê tái cây trút lá cuốn theo chiều mây mưa giăng mắc nhớ nhung tiêu điều sương thướt tha bay ôi đìu hiu đêm đông xa trông cố hương buồn lòng chinh phu đêm đông bên song ngẩn ngơ kìa ai mong chồng đêm đông thi nhân lắng nghe tâm hồn tương tư đêm đông ca nhi đối gương ôm sầu riêng bóng gió nghiêng chiều say gió lay ngàn cây gió nâng thuyền mây gió reo sầu miên gió đau niềm riêng gió than triền miên đêm đông ôi ta nhớ nhung đường về xa xa đêm đông ta mơ giấc mơ gia đình yêu đương đêm đông ta lê bước chân phong trần tha phương có ai thấu tình cô lữ đêm đông không nhà đời như vô tình ta ngao ngán non nước thê thảm mang cảnh tang thân lãng du cô liêu chán chường về đâu giữa trời đông đêm trường sầu lên khơi hồn quê lai láng ta van gió nhân mưa ngừng than cho ta lắng tiếng vang muôn lòng rên rỉ qua không gian buồn mong,tien-chien
Hai Vì Sao Lạc,https://www.nhaccuatui.com/bai-hat/hai-vi-sao-lac-truong-vu.ZeJBlRGTQU.html,người về một mùa thu gió heo mây về đâu có nhớ chăng những vì sao long lanh đưa tiễn người một đêm không trăng nói sao nên lời lòng buồn như chiều rơi như trong đêm khuya những bước chân qua thềm gợi niềm thương nhớ vô vàng người về đường đi kết gió trăng sao người đi có biết chăng trong chiều nay bơ vơ nghe lá thu vàng rơi bâng khuâng bước chân ai về chừng thời gian ngừng trôi như quên đêm khuya để gió sương thêu thùa thầm làm ướt áo vai gầy người về chiều mưa hay nắng sao để khói lam chiều như se chùng màu không gian người về dòng sông thương nhớ để bến vắng con đò buồn mong người người hay chăng người là vì sao nhỏ bé ta mãi ước cho lòng mình là bầu trời xanh xanh người về lòng ta thương nhớ ta khẽ hỏi đưa người hay thầm người đưa ta người về người về đâu nhớ ta chăng người ơi mỗi lá thu rơi làm ta bâng khuâng như áng mây chiều lam trong sương bước đi âm thầm lòng buồn như chiều rơi nghe chăng thu ơi để lá rơi chi hoài gợi lòng thương nhớ ai nhiều,tien-chien
Bài Ca Đất Phương Nam,https://www.nhaccuatui.com/bai-hat/bai-ca-dat-phuong-nam-huong-lan.QUBEMgZG1ln2.html,nhắn ai đi về miền đất phương nam trời xanh mây trắng soi dòng cửu long giang mênh mông rừng tràm bạt ngàn dừa xanh tiếng chang đước đong đưa nhớ người xưa từng ở nơi này cho ta thêm yêu dấu chân ngàn năm đi mở đất cho ta thêm yêu bầy chim sáo sổ lồng còn đâu đây tiếng vó ngựa phi mà ngỡ con tàu vỗ sóng bờ xa nỉ non sao tiếng nhạn kêu chiều buồm xuôi vô phương nam phiêu bạt theo thủy triều dẫu trải qua thăng trầm giông tố qua bao cuộc bể dâu mãi dâng cho đời bài tình ca đất phương nam cánh chim tung trời về đất phương nam người xưa lưu dấu in hình thuở mang gươm bao la tình đời màu lục bình trôi hoàng hôn tím ven sông tiếng hò khoan còn tỏa đôi bờ lênh đênh mây trôi khói sương chiều miên man nỗi nhớ nghe trong âm ba từng con sóng vỗ về chờ trăng lên cất tiếng gọi nhau đờn khảy tang tình đượm thắm hồn ai biển xôn xao gió lộng tứ bề thuyền ai xuôi phương nam khoan nhặt trôi lững lờ đã trải qua bao mùa mưa nắng qua bao cuộc đổi thay mãi dâng cho đời bài tình ca đất phương nam,tien-chien
Mùa Xuân Sao Chưa Về Hỡi Em,https://www.nhaccuatui.com/bai-hat/mua-xuan-sao-chua-ve-hoi-em-tuan-ngoc.HbEk5clwVTXy.html,mùa xuân sao chưa về hỡi em xua mây tan cho những ngày nắng êm lũ chim non gửi gấm khúc tự tình gọi xuân cho xanh màu mắt em và mơ ước thắm thiết mãi lên cho ta nói yêu em hàng cây tro thân gầy mỏng manh mãi trông tin qua mùa lá xanh đón em xuân về bát ngát đầy trời gọi xuân cho thêm hồng má em còn đâu đó bóng dáng thướt tha cho ta hoài nhớ thương viết cho người và hát cho người từ một thuở vào xuân xa vời xin mau về mùa xuân trên đời để lòng người nở hoa rực rỡ như lòng ta vẫn chờ mùa xuân sao chưa về hỡi em cho yêu thương vun đầy mắt sâu sẽ quên đi ngày tháng cũ miệt mài chờ xuân lên cho lòng ngất say còn mãi đó với những dấu yêu trong đôi mắt thơ ngây từ xuân đi cho đời vắng nhau gom yêu thương đã từ bấy lâu hứa cho em dành thấm mát cuộc đời chờ xuân lên tươi màu cỏ hoa tình yêu đó gắn bó thiết tha ta suốt đời có nhau,tien-chien
Chân Quê,https://www.nhaccuatui.com/bai-hat/chan-que-huong-lan.Z8Q53NkgCU1E.html,hôm qua em đi tỉnh về đợi em ở mãi con đê đầu làng khăn nhung quần lĩnh rộn ràng áo cài khuy bấm em làm khổ tôi nào đâu cái yếm lụa sồi cái dây lưng đuỗi nhuộm hồi sang xuân nào đâu cái áo tứ thân cái khăn mỏ quạ cái quần nái đen nói ra sợ mất lòng em van em em hãy giữ nguyên quê mùa như hôm em đi lễ chùa cứ ăn mặc thế cho vừa lòng anh hoa chanh nở giữa vườn chanh thầy u mình với chúng mình chân quê hôm qua em đi tỉnh về hương đồng gió nội bay đi ít nhiều,tien-chien
Lặng Lẽ Nơi Này,https://www.nhaccuatui.com/bai-hat/lang-le-noi-nay-khanh-ly.3mn0nb2bJY.html,tình yêu mật ngọt mật ngọt trên môi tình yêu mật đắng mật đắng trong đời tình yêu như biển biển rộng hai vai biển rộng hai vai tình yêu như biển biển hẹp tay người biển hẹp tay người lạc lối em đi về nơi ấy nơi đâu nơi đâu sông cạn đá mòn trăng treo đầu con sóng tan theo tan theo chút tình xa vắng làm sao ru được tình vơi à ơi nỗi đau này người tình yêu vô tội để lại cho ai buồn như giọt máu trời cao đất rộng một mình tôi đi một mình tôi đi đời như vô tận một mình tôi về một mình tôi về với tôi,tien-chien
Hà Nội Mùa Này Vắng Những Cơn Mưa,https://www.nhaccuatui.com/bai-hat/ha-noi-mua-nay-vang-nhung-con-mua-tuan-ngoc.JxYdt4mEDK.html,hà noi mùa vắng những cơn mưa hà nội mùa này vắng những cơn mưa cái rét đầu đông khăn em bay hiu hiu gió lạnh hoa sữa thôi rơi em bên tôi một chiều tan lớp đường cổ ngư xưa chầm chậm bước ta về hà nội mùa này trời không buông nắng phố vắng nghiêng nghiêng cành cây khô quán cóc liêu xiêu một câu thơ hồ tây hồ tây tím mờ hà nội mùa này lòng bao nỗi nhớ ta nhớ đêm nao lạnh đôi tay hơi ấm trao em tuổi thơ ngây tưởng như tưởng như còn đây trương quý hải,tien-chien
Chiếc Lá Cuối Cùng,https://www.nhaccuatui.com/bai-hat/chiec-la-cuoi-cung-le-thu.j7ITPtSbL3vx.html,đêm qua chưa mà trời sao vội sáng một đàn chim cánh nhỏ chở mùa sang trời vào thu tiễn em sầu lạnh giá lá trên cành từng chiếc cuốn bay xa đêm chia ly buồn gì sao chẳng nói chỉ nghe tim nức nở trở về thôi ngày buồn tênh cũng đưa chiều vào tối mĩm môi cười mà nhớ thương không nguôi mộng về một đêm xuân sang em thì thầm ngày đó thương anh thuyền về một đêm trăng thanh say mộng vàng đậu bến sông xanh mộng tràn ngập đêm trăng sao sao đầy trời từng chiếc lấp lánh rồi một chiều xuân thơ trinh cho lòng mình về với dĩ vãng xa nhau chưa mà lòng nghe quạnh vắng đường thênh thang gió lộng một mình ta rượu cạn ly uống say lòng còn giá lá trên cành một chiếc cuối bay xa,tien-chien
Tiếng Chày Trên Sóc Bom Bo,https://www.nhaccuatui.com/bai-hat/tieng-chay-tren-soc-bom-bo-va.uuLFdaKsHjZ6.html,lửa bập bùng tiếng chày khua cắc cum cum cụp cum cum cụp cum cum cụp cum cắc cum cum cụp cum đuốc lồ ô bập bùng lên ánh lửa sóc bom bo rộn rã tiếng chày khua bồng con ra võng để đong đưa giã gạo ban đêm vì ngày bận làm mùa cách mạng cần gạo nhiều để đánh mỹ sóc bombo sẵn có cối chày đây người bom bo sẵn có đôi bàn tay với tình yêu nước và thù giặc ngày ngày ê còn nhớ ngày xưa người dân bom bo cái bụng không no khố chăn chẳng lành ê được sống tự do cơm áo lành no dân làng bom bo nhớ ơn giải phóng nhớ nhớ ơn người chiến sĩ ngày đêm không nghỉ tìm diệt giặc mỹ giải phóng cho dân mình nay dẫu còn gian khổ mồ hôi ta đổ làm nương phá rẫy giữ lấy đất quê hương người hậu phương tiếp lương gùi đạn ta bên bạn là bạn bên mình cùng đồng tình là giặc thua ta tiếng nói ríu ra lời ca trong vắt nhìn trong đôi mắt đều thấy mỗi người một nụ cười tin chắc tương lai tiếng cười vui đẩy lùi đêm vắng vẻ có ai đi về phía những hàng cây mời vô đây cùng nghe khúc nhạc hay khúc nhạc đêm nay dùng nhịp đệm bằng chày đuốc gần tàn nhịp càng thêm rắn rỏi bóng trăng lên vừa khỏi đỉnh đồi cây người chưa ngơi đã sẵn có người thay cối gạo vơi đi và rồi gạo lại đầy ê gạo giã chày tay gạo mang trên vai để ngày mai đây túi anh có đầy ê gạo trắng lại thơm ngon lắm nồi cơm thơm tình quân dân trắng trong tình nước ê tiếng gà đã gáy màn sương phủ xuống mồ hôi pha lẫn đẫm ướt suốt đêm dài ê tiếng chày chưa dứt mặt trời đã thức đàn chim náo nức vỗ cánh tung bay lên mừng một đêm giã thêm nhiều gạo bao nhiêu gạo là bao nhiêu tình này là tình của người hậu phương tiếng súng phước long chờ mong tin thắng người đi xa vắng rồi sẽ có ngày về đường này thăm sóc bom bo lại nghe tiếng chày nhịp nhàng trên sóc bom bo,tien-chien
