title,url,lyric,genre
Đêm Sầu Nghe Tiếng Tắc Kè,https://www.nhaccuatui.com/bai-hat/dem-sau-nghe-tieng-tac-ke-hoang-ngoc-hai.r225Su3wnEvc.html,có con tắc kè u sầu trong đêm vắng tiếng kêu nghe não lòng như sầu oán trách than ai người đã sang sông vui bước bên chồng để con tắc kè kêu hoài nức nở trong đêm tiếng yêu ban đầu cau trầu duyên đưa lối ước mơ chung nhịp cầu tình ban đầu ta mãi bên nhau hẹn thề mai sau son sắc mặn nồng sánh duyên vợ chồng em nỡ đành quên sao ngoài trời mưa nghe tiếng kêu tắc kè nức nở canh dài hỏi người xưa đâu có thấu chăng cho lòng giờ đây tôi khóc cho mối tình đau vì người ta đã quên ân tình cớ sao riêng mình bóng hình cứ nặng mang tiếng kêu tắc kè đêm hè nghe thương nhớ mưa rơi thêm u sầu tình ban đầu xa mãi tầm tay giờ người ấm êm sống trong sang giàu gẫy đôi nhịp cầu đêm sầu tắc kè kêu vọng cổ mình đã không duyên còn mong chi nữa có nhớ có thương thì tình cũng xa rồi tiếng tắc kè kêu khơi niềm thương nhớ em đã quên rồi sao lòng cứ nặng mang em đi bỏ lại nơi này mình anh thương nhớ bóng hình ngày xưa,tru-tinh
Gió Về Miền Xuôi,https://www.nhaccuatui.com/bai-hat/gio-ve-mien-xuoi-bao-nguyen.pqfs0LP2AFRY.html,gió về miền xuôi anh đưa em cuối nẻo cuối đường gió đầu non gió lọt đầu ghềnh đường em đi đường nở hoa khắp luống cày trên đường em đi đường nở hoa khắp chiến trường gió gió về là về miền xuôi anh đưa em nước lớn nước ròng để em qua sông qua suối thăm chồng gió về miền xuôi qua bốn vịnh năm vòi đò vẫn đưa đưa ngược xuôi em ơi em ơi đường về quê xa mấy bước đường về quê xa mấy ngõ mà sao người nỡ bỏ quên đường trên đường em đi đường nở hoa khắp luống cày trên đường em đi đường nở hoa khắp chiến trường,tru-tinh
KIẾP NGƯỜI THUA THIỆT THỜI GIAN,https://www.nhaccuatui.com/bai-hat/kiep-nguoi-thua-thiet-thoi-gian-minh-ngoc.UgigZ1orUydE.html,từng ngày trôi qua trên khuôn mặt nếp nhăn thêm nhiều vẻ đẹp kiêu sa không sánh bằng năm tháng nhạt phai ngày còn thơ ngây chẳng phấn son vẫn như thiên thần vạn người say mê nhan sắc trời đã ban cho giờ nhìn trong gương sau bao ngày thấm thoát qua nhanh tuổi trẻ ra đi mang tuổi già với những buồn lo đời bạc như vôi năm tháng tô vết trên khuôn mặt tình tiền lợi danh không đánh đổi được lại thời gian bao nhiêu năm kiếp sống con người làm bao điều tốt chỉ cầu được bình an thời gian chẳng chừa một ai bận tâm chi những vết nhăn tầm thường người mình thương yêu vẫn thương mình giống như ban đầu bạn bè thân luôn bên cạnh những lúc buồn đau nụ cười trên môi sẽ giúp ta sống vui mỗi ngày bận lòng làm chi khi kiếp người thua thiệt thời gian,tru-tinh
Thiệp Hồng Cô Đơn,https://www.nhaccuatui.com/bai-hat/thiep-hong-co-don-sang-tri.OHnm342raPjB.html,thuở nào nguyện mãi bên nhau mà hôm nay cô đơn một mình tôi cuộc tình bỗng hóa hư không giờ người đã ra đi trong đợi mong thiệp hồng em viết trên tay hẹn ngày mai vu quy tôi dự tham chuyện tình mình ngỡ rằng nên duyên tháng năm yên ai trao ai muộn phiền người mừng vui tôi đắng cay tủi đời đêm dài chén cạn sầu khôn nguôi ngày sau em hạnh phúc theo chồng mới cho thiệp hồng thẫm màu buồn đơn côi xưa chẳng mơ ước cao vời sớm khuya đời mình chung lối khổ vui cùng dưới mái nhà em về với dòng họ người ta xe hoa rước dâu nghe rộn rã xây nhung gấm ngọc ngà ai người hứa suốt trọn đời nỡ mang hẹn thề chưa tới đến thay lời nói xa rời nên tình nghĩa lụy bạc tiền thôi xót đau đời người ơi chiều thu xác pháo bay bay người thương ơi tôi xa em từ đây đường ai nắng ấm xanh mây đường ai mưa giăng lá xưa rụng đầy người còn đâu chôn hết kỷ niệm ta đông tàn xuân hạ vàng thu qua dòng sông thương bến vắng con thuyền khuất buốt ngập lòng cõi nhớ gợi người xa nay người êm ấm bên người nhớ chăng tình đầu tình tôi tuổi thơ đùa giữa đất trời em giờ đã làm vợ người ta tương lai khép lên ai nghiệt ngã ôm kiếp sống nhạt nhòa nhân tình thế thái muôn đời nghĩa thua bạc vàng nhiều vơi trắng tay người sớm quên người tôi cầu chúc trọn đời em vui xót thương đời mình tôi tôi cầu chúc trọn đời em vui xót thương đời mình tôi,tru-tinh
Áo Hoa Xin Gửi Lại,https://www.nhaccuatui.com/bai-hat/ao-hoa-xin-gui-lai-bao-nguyen.KUvOyVycWob3.html,em đến thăm tôi chiều mưa vội vàng lời yêu dịu dàng như âu yếm bên vai dù tình nồng say mà nghe lòng tê tái mà nghe sầu ngang trái làm sao để anh quên tôi đã yêu em dù tôi phận nghèo đời tôi bọt bèo sao mơ ước trên cao mình càng yêu nhau càng giao nhiều oan trái vì nhân tình thế thái vì hai chữ kim tiền em ơi làm thân con gái ai chẳng ước mong tìm được bến trong lên xe hoa theo chồng pháo hồng ngập tràn đưa đón người người ao ước mong có được một lần như em thôi nhé em ơi mẹ cha định rồi dù anh ngỏ lời thêm chua xót mà thôi đời bạc như vôi mình anh sầu nhân thế nghe đời hoang phế mà ôm nỗi đau tình,tru-tinh
Thương Em Gái Miền Quê,https://www.nhaccuatui.com/bai-hat/thuong-em-gai-mien-que-vu-hoang-ft-thach-thao.danJNNcWrFHt.html,thương bến đò chờ mong nơi miền quê xóm nhỏ ân tình thương ruộng sâu đồng xanh bát ngát thương dòng sông phù sa vun đắp thương nhớ thương ngọt ngào em gái nhỏ miền quê em vẫn chờ đợi anh bên dòng sông sóng vỗ những chiều nơi hẹn trao tình quê e ấp cho dù muôn trùng xa em hỡi luôn nhớ câu hẹn thề ta mãi chờ đợi nhau miền quê dãi nắng sương anh thương em thương em nói sao cho vừa ngoài đồng tươi thắm mạ non xanh tươi tình ta hẹn ước nhớ nhau ta hẹn thề vui thắm đượm trầu xanh ngày mai rộn tiếng cười vui quê hương tôi xôn xao rước dâu tưng bừng rồi mình xây đắp mộng mơ tin yêu bền lâu chung thủy khó khăn ta bền lòng vui hát trọn câu ca rồi mình xây đắp mộng mơ tin yêu bền lâu chung thuỷ khó khăn ta bền lòng vui hát trọn câu ca,tru-tinh
Tình Anh,https://www.nhaccuatui.com/bai-hat/tinh-anh-vu-hoang.E0TSuxNPOt9d.html,thuyền xa sông thuyền tìm ra biển lớn theo tiếng gọi ngàn con sóng khơi xa thuyền có hay sông lặng lòng yên ả vẫn đợi thuyền nhớ bến sẽ quay về ngày em đi để mình anh đứng đó em có hay lòng anh mãi thương em đừng cách xa cho mi buồn đẫm lệ rơi vì người đi mãi không về có phải em là con thuyền nhỏ kia bỏ mặc anh dòng sông trôi buồn bã có phải em vội quên đi tất cả ngày sông thuyền thủy chung 1 bến đò em biết chăng ngoài khơi xa bão táp có biết bao con thuyền phải lênh đênh về bên anh không ồn ào sóng cả chỉ hiền hòa yên ả nặng tình anh,tru-tinh
Cánh Thư Mùa Hạ,https://www.nhaccuatui.com/bai-hat/canh-thu-mua-ha-bao-nguyen.eOs5gdy4bUjy.html,hỏi rằng mùa hạ năm nay phương ấy có còn nhiều mây bay hoa nắng lung linh phượng rơi ngủ mơ trên vai em ngọc ngà kể từ ngày chia tay đôi nơi bạn bè còn mấy đứa nhắc tới em gái yêu ơi có còn nhặt hoa hay đã giã từ cuộc chơi nơi xa xôi đóng quân trên vùng sỏi đá suốt năm bốn mùa lửa hạ mong một ngày trời nở đầy hoa về trường xưa ngắm lại màu phượng thân yêu muôn sắc hoa dù mỹ miều cũng thua màu phượng buồn thật nhiều mấy mùa lửa hạ lại trôi qua thân lính xa nhà còn bôn ba nhung nhớ thiết tha phượng rơi ngủ mơ trên vai em ngọc ngà vài lời gửi cho cô em tôi kỉ niệm ngày trước có nhớ tới xin gửi cho tôi cánh phượng màu môi cho tôi sống lại ngày vui,tru-tinh
Gánh Mẹ,https://www.nhaccuatui.com/bai-hat/ganh-me-dam-vinh-hung.BXqJmgGB0zHX.html,cho con gánh me một lần cả đời mẹ đã tảo tần gánh con cho con gánh mẹ đầu non cả lòng mẹ đã gánh con biển trời ngày xưa mẹ gánh à ơi con xin gánh lại những lời mẹ ru đường đời sương gió mịt mù vì con hạnh phúc chẳng từ gian nan để con gánh mẹ đừng can sợ khi mẹ mất muộn màng gánh ai cho con gánh cả tháng dài gánh qua năm ròng những ngày đắng cay cho con gánh cả đôi vai thân cò lặn lội sớm mai vai gầy mẹ già lá sắp xa cây lỡ đâu lá rụng tội này gánh sao mẹ ơi sóng biển dạt dào con sao gánh hết công lao một đời bông hồng cài áo đúng nơi đâu bằng bông hiếu giữa trời bao la cho con gánh lại mẹ già để sau người gánh chính là con con cho con gánh me một lần cả đời mẹ đã tảo tần gánh con cho con gánh mẹ đầu non,tru-tinh
Thương Lắm Huế Ơi,https://www.nhaccuatui.com/bai-hat/thuong-lam-hue-oi-ha-van.4hBNAoXSNmHf.html,đã mấy thu rồi ta không về thăm huế đồng khánh cô thầy bạn bè sắc hồng không dòng nước sông hương hững hờ trôi đi mô con thuyền đang lững lờ con sóng lăn tăn gợn trở lại huế thương kỷ niệm đang ùa về mực tím xa xưa chừ đã nhạt nhòa chưa a từng nét ngây ngô bao vần thơ trao cô con đường xưa hôm nào sân trường hoa phượng rơi vĩ dạ ấy trăng vàng soi lối tràng tiền ơi áo trắng tung bay núi ngự bình trang thơ bất tận đồi thông vàng chốn hẹn hò tình yêu dù xa cách tim này vẫn nhớ chùa thiên mụ hùng tráng đắm say trải bao ngày giông tố bão bùng chốn đô thành nay vẫn vẹn nguyên trải bao ngày mưa nắng não nề vẫn xanh màu sắc nước cố đô huế thương,tru-tinh
