title,url,lyric,genre
Ca Ngợi Hồ Chí Minh - Quang Hà,https://nhac.vn/bai-hat/ca-ngoi-ho-chi-minh-quang-ha-soqMMXE,người về đem tới ngày vui mùa thu nắng toả ba đình với tiếng người còn dịu dàng như tiếng đất trời người về đem tới xuân đời từ đất nước cằn từ bùn lầy cả cuộc đời vùng lên bao công nhân tiền phong đưa nhân dân vùng lên nhân dân theo từng bước cha già hòa bình vui ngàn năm cụ hồ chí minh ánh dương vào trong ngục tù tay công nhân của thế giới mới lên cụ hồ chí minh đế quốc tan tành hết với sức dân trào cuốn vinh quang nhân dân việt nam bao đau thương miền nam trong con tim việt nam đang dâng lên làn sóng căm hờn và niềm tin thành công cụ hồ chí minh ý muôn người trong một người tên quê hương hồn đất nước bắc nam cụ hồ chí minh đế quốc tan tành hết vinh quang nhân dân việt nam,cach-mang
Huyền Thoại Mười Đóa Hoa - Trịnh Bách Thủy,https://nhac.vn/bai-hat/huyen-thoai-muoi-doa-hoa-trinh-bach-thuy-soNqdmA,ngàn ngọn nến sáng rực trời can lộc tháng bảy về đồi sim tím nhớ ai nén hương thơm mười ngôi sao đồng lộc hoa trinh nữ giữa lòng đất mẹ yêu tiếng ầu ơ vọng lại thời lửa khói anh ra đi ngày chưa hé bình minh trao vội em chiếc khăn tay đẫm lệ bên đồi sim khắc ghi chuyện chúng mình rồi chiến tranh một chiều đạn bom gầm xé anh chưa về chẳng kịp tiễn em đi mười cô gái ngan ngát tuổi xuân thì đất mẹ ơi đau xót trời miền trung xin được hát em nghe câu ví dặm ai về thăm xin nâng nhẹ bước chân dưới đất mẹ mười cô gái đang nằm đồng lộc ơi huyền thoại mười đóa hoa xin được hát câu tri ân cảm tạ đồng lộc ơi huyền thoại mười đóa hoa,cach-mang
Tổ Quốc Gọi Tên Mình - Lâm Bảo Phi,https://nhac.vn/bai-hat/to-quoc-goi-ten-minh-lam-bao-phi-sod34ee,tôi đang nghe tổ quốc gọi tên mình bằng tiếng sóng trường sa hoàng sa dội vào ghềnh đá tiếng tổ quốc vọng về từ biển cả nơi bão tố dập dồn chăng lưới bủa vây tôi đang nghe tổ quốc gọi tên mình bằng tiếng sóng trường sa hoàng sa dội vào ghềnh đá sóng cuồng cuộng lên dáng hình đất nước một tấc biển cắt rời vạn tấc đất đớn đau tổ quốc của tôi tổ quốc của tôi mấy ngàn năm chưa bao giờ ngơi nghỉ ngọn đuốc hòa bình bao người đã ngã máu của người nhuộm mặn sóng biển đông tổ quốc linh thiêng tổ quốc linh thiêng ngọn đuốc hòa bình trên tay rực lửa biết bao triệu mỗi người thao thức tiếng việt nam biết bao triệu người lấy thân mình che chở tổ quốc linh thiêng tổ quốc linh thiêng ngọn đuốc hòa bình trên tay rực lửa tôi lắng nghe tôi lắng nghe tôi lắng nghe tổ quốc gọi tên mình,cach-mang
"Hành Khúc Ngày Và Đêm - Yên Nhiên, Viết Thu",https://nhac.vn/bai-hat/hanh-khuc-ngay-va-dem-yen-nhien-viet-thu-so5AYoq,rất dài và rất xa là những ngày thương nhớ nơi cháy lên ngọn lửa là trái tim thương yêu là trai tim yêu thương anh đang mùa hành quân pháo lăn dài chiến dịch bồi hồi đêm xuất kích chờ nghe tiếng pháo ran ngôi sao như mắt anh trong những đêm không ngủ giáo án em vẫn mở cho ánh sao bay vào ngày và đêm xa nhau đâu chỉ dài và nhớ thời gian trong cách trở đốt cháy lửa tình yêu pháo anh lên đồi cao nã vào đầu giặc mỹ bục giảng dưới hầm sâu em cũng là chiến sĩ cái chết cúi gục đầu cuộc đời xanh tươi trẻ ngày đêm ta bên nhau những năm dài chiến đấu ngày đêm ta bên nhau những năm dài chiến đấu đêm ngày trong chiến đấu anh với em sống vẫn gần nhau,cach-mang
"Trường Sơn Đông Trường Sơn Tây - Yên Nhiên, Viết Thu",https://nhac.vn/bai-hat/truong-son-dong-truong-son-tay-yen-nhien-viet-thu-soYwMoD,cùng mắc võng trên rừng trường sơn hai đứa ở hai đầu xa thẳm đường ra trận mùa này đẹp lắm trường sơn đông nhớ trường sơn tây trường sơn tây anh đi thương em thương em bên ấy mưa nhiều con đường mà gánh gạo muỗi bay rừng già cho dài mà tay áo hết rau rồi em có lấy măng không còn em thương bên tây anh mùa đông nước khe cạn bướm bay lèn đá biết lòng anh say miền đất lạ là chắc em lo đường chắn bom thù anh lên xe trời đổ cơn mưa cái gạt nước xua đi nỗi nhớ em xuống núi nắng về rực rỡ cái nhành cây gạt nỗi riêng tư từ bên em đưa sang bên nơi anh những binh đoàn nối nhau ra tiền tuyến như tình yêu nối lời vô tận đông trường sơn nối tây trường sơn,cach-mang
Cô Gái Sài Gòn Đi Tải Đạn - Huỳnh Nhật Huy,https://nhac.vn/bai-hat/co-gai-sai-gon-di-tai-dan-huynh-nhat-huy-soBYvk1,1 chim kêu chim kêu ven rừng suối gọi ta lên đường nặng trĩu hai vai hoa mai vàng chen lá nguỵ trang sương đêm sương đêm ướt đầm nón vải ta xuyên rừng theo giải phóng quân từ ngày đô thị vùng lên chị em mình đi tải đạn để các anh đi diệt thù quả pháo ơi trên đường xa đi có mỏi suốt đêm ngày có đói hay chăng đường dài sức nặng càng tăng cùng ta mang nặng tình chiến đấu khó khăn chẳng rời chị em ơi mỗi trái đạn đây mang tấm lòng ta cùng các anh góp lửa diệt thù dù bom rơi dù bao bốt đồn mong các anh yên lòng từng trái pháo tới tay anh chị em ta cô gái thành đô đem lứa tuổi xuân cùng hiến dâng quyết giải phóng quê mình chị em ơi niềm tin thắng lợi thôi thúc ta lên đường kìa hoả tuyến đang chờ ta 2 hôm qua hôm qua chưa hề vác nặng em chưa từng vượt suối qua bưng em chưa từng giãi nắng dầm mưa hôm nay hôm nay em là chiến sĩ vai dạn dày vững vàng bước chân lòng người đang độ mùa xuân trào dâng niềm vui đánh mỹ dẫu hiểm nguy em không nề quả pháo ơi sao mà yêu như đứa trẻ suốt đêm ngày ta vác trên vai đường về đô thị còn xa ngày nay đi diệt thù cứu nước có ta có mình,cach-mang
"Lời Người Ra Đi - Thanh Lan (Phạm), Phúc Lâm",https://nhac.vn/bai-hat/loi-nguoi-ra-di-thanh-lan-pham-phuc-lam-sop8L8n,một chiều anh bước đi em tiễn đưa ra tận cuối đồi nghe dặn lời rằng kháng chiến còn trường kỳ rằng kháng chiến còn trường kỳ và còn gian khổ máu còn rơi xương còn rơi bao lớp người tiền tuyến tuôn ra ngăn quân thù dày xéo dân ta cho cuộc đời mới một ngày vui sẽ tới phơi phới như dòng sông ra đại dương qua bao ghềnh và đá cheo leo đấu tranh này còn dài em ơi mới tới ngày chiến thắng và xa xôi em nhớ lời dù kháng chiến còn tường kỳ dù kháng chiến còn trường kỳ và còn gian khổ và dù nơi chốn xa cho gió mưa có rơi dầm dề em nhủ mình rằng muốn có một ngày về thì chiến đầu đừng sờn lòng đừng nề gian khổ súng còn vang dân lầm than đây chiến trường thề quyết xông pha ánh dương bầu trời việt nam ta mong hoà bình tới để toàn dân vui sống no ấm trên đồng xanh em cùng anh lấy sức người vượt sức thiên nhiên sống vui cùng đồng lúa nương khoai cho một mùa gió thắm và dâng lên bao tâm hồn đầy sức sống hoà tình đời tình phơi phới mừng ngày về tràn đầy tin tưởng em ơi,cach-mang
Vầng Trăng Lăng Bác - Tuýnh Nhật Minh,https://nhac.vn/bai-hat/vang-trang-lang-bac-tuynh-nhat-minh-sovYBk0,bên lăng con vẫn thức ô kìa vầng trăng lên cao gió từ rặng tre lao xao đong đưa cánh võng năm nào mẹ ru bác bác giờ đang ngủ trong lăng trên đầu vẫn một vầng trăng đàn cháu nay về vây quanh mênh mông mênh mông tình bác trăng tròn vầng trăng lăng bác mãi sáng tình người còn mãi với nước non vần thơ bay như chắp cánh bay lên bay lên giữa trời không gì quý hơn độc lập tự do con cháu vua hùng phải cùng nhau giữ nước vẹn toàn vầng trăng lăng bác mãi sáng làn điệu đò đưa sao thiết tha bài thơ bay như chắp cánh bay lên hoa sen vẫn nở tháp mười có tên bác hồ đẹp nhất non nước ân tình phải cùng nhau sáng mãi đời đời non nước ân tình mãi gọi vầng trăng sáng mãi đời đời bác ơi,cach-mang
Chúng Con Canh Giấc Ngủ Cho Người - Ngọc Sáng,https://nhac.vn/bai-hat/chung-con-canh-giac-ngu-cho-nguoi-ngoc-sang-somAbG7,vinh quang con đứng bên người canh cho bác ngủ ngon giấc trên môi như bác vẫn cười bác vui vì khắp non sông cháu con trở về sum vầy nghiêm trang trong nắng ba đình hoa thơm ngát trời thủ đô chúng con nguyện hứa với người sắc son vì tổ quốc hy sinh bảo vệ nước non đời đời sáng tươi ơsáng tháng năm trời trong xanh quá bốn phương tụ về ba đình hãy nhè nhẹ bàn chân bác chưa trọn giấc mơ ơnhững bước chân bồi hồi sao xuyến cháu con trở về bên người hãy đừng để lệ rơi bác đang ngủ kia mà người vừa mới đặt mình vinh quang con đứng bên người canh cho bác ngủ ngon giấc trên môi như bác vẫn cười bác vui vì khắp non sông cháu con trở về sum vầy nghiêm trang trong nắng ba đình hoa thơm ngát trời thủ đô sắc son vì tổ quốc hy sinh bảo vệ nước non đời đời sáng tươi ơsáng tháng 5 trời trong xanh quá bốn phương tụ về ba đình hãy nhè nhẹ bàn chân bác chưa trọn giấc mơ ơ những bước chân bồi hồi sao xuyến cháu con trở về bên người hãy đừng để lệ rơi bác đang ngủ kia mà người vừa mới đặt mình ơ nay chúng con cùng canh giấc bác tiếng ca đọng lòng nhớ thương cháu con đời đời bên bác bác ơi bác ngủ ngon lành,cach-mang
Hành Quân Xa - Tuxedo,https://nhac.vn/bai-hat/hanh-quan-xa-tuxedo-soyowR3,hành quân xa dẫu có nhiều gian khổ vai vác nặng ta đã đổ mồ hôi mắt ta sáng chí căm thù bảo vệ đồng quê ta tiến bước đời chúng ta đâu có giặc là ta cứ đi dù đôi chân qua những chặng đường có mỏi vẫn bước dồn ta hãy hỏi vì đâu mấy năm trước sống cơ cực vì bọn giặc kia nó áp bức đời chúng ta đâu có giặc là ta cứ đi bọn xâm lăng kia nó gây nhiều đau khổ kìa đồng bào đang mắt đỏ chờ ta máu giai cấp chí căm thù đợi lệnh truyền ra ta quyết chiến đời chúng ta đâu có giặc là ta cứ đi,cach-mang
