title,url,lyric,genre
Hẹn Gặp Lại - Tryle,https://nhac.vn/bai-hat/hen-gap-lai-tryle-soEooYL,đi là khi chuyến xe cuối rời trạm si là khi anh gục ở góc phòng dù là người nói những lời cay độc nhưng anh vẫn muốn có em bên cạnh từng là hạt mưa cuối trời là giọt nắng cuối đời là tình yêu những lần mình cùng đi khắp nơi giờ điều làm anh nghĩ ngợi xin em hãy quay về bên anh từng là hạt mưa cuối trời là giọt nắng cuối đời là tình yêu những lần mình cùng đi khắp nơi giờ điều làm anh nghĩ ngợi xin em hãy quay về bên anh và em nói rằng tình ta chỉ là một chút vui đùa tất cả chỉ là những giấc mơ xa lạ và hôm nay anh không muốn nghĩ về những đớn đau anh phải gánh thêm khi em bước đi giờ nước mắt đã nhòa nơi khóe mi dù trăm lời yêu cũng không làm em quay lại dù mưa cũng khoong dấu được giọt nước mắt này từng là hạt mưa cuối trời là giọt nắng cuối đời là tình yêu những lần mình cùng đi khắp nơi giờ điều làm anh nghĩ ngợi xin em hãy quay về bên anh từng là hạt mưa cuối trời là giọt nắng cuối đời là tình yêu những lần mình cùng đi khắp nơi giờ điều làm anh nghĩ ngợi xin em hãy quay về bên anh từng là bài ca những lần mà bàn tay nắm chặt cảm nhận tim khẽ đập khi cùng em khép gần giờ điều làm anh nghĩ ngợi xin em hãy quay về bên an,rock-viet
Ôi Tình Yêu Thật Điêu (Melodic Punk) - Lenatic Bubble Gum Hipsters,https://nhac.vn/bai-hat/oi-tinh-yeu-that-dieu-melodic-punk-lenatic-bubble-gum-hipsters-somLVrz,ôi tình yêu thật điêu thật nhiễu khi vẫn còn yêu biết cho đến bao giờ em thôi không mong chờ nghĩ thật lâu đến đau đầu về chuyện tình yêu bấy lâu làm sao mới sâu hai rồi ba bốn năm ngày chờ hồi âm không thấy đâu vì sao quá lâu nắng đã lên ngang đầu mà vì sao vẫn cứ ôm u sầu chờ ai lâu lỡ bước đi qua nhau thôi chờ kiếp sau sáng nay ở hàng xôi thấy em với bạn tôi em đã thôi không chờ tôi cũng không bất ngờ không còn muốn nhắn em nhiều về chuyện em ăn sáng chưa chiều nay có mưa em giờ cũng đã quên rồi chỉ còn mình tôi với tôi chờ em đấy thôi thấy em ngay trước mặt mà xa xôi nấp ra xa tôi sợ mình lôi thôi lỡ em đi hơi vội thôi thì thế thôi chẳng còn chi nữa thôi thì thế thôi chẳng còn chi nữa em xa tôi rồi để ngày mai biết ai còn nhớ ai tình mình nhạt phai o,rock-viet
Đừng Để Nhau Rơi - Minh Đinh,https://nhac.vn/bai-hat/dung-de-nhau-roi-minh-dinh-soRlLlP,bám lấy tay anh đi nước mắt em rơi nhiều anh biết rằng ta đang mỏi mệt tương lai làm ta thêm sợ sệt hãy tới hôn anh đi nói hết ra bao điều về nơi mà ta đang dựng xây hỏi về nơi mà ta muốn thấy mình là của nhau đến bao giờ dòng đời ngả nghiêng có ai ngờ phải chăng một tay anh che hết muộn phiền còn 1 tay ôm chặt hết thân em mình chạy cùng nhau tới nơi nào sau đắng cay liệu có thấy ngọt ngào chạy với anh đi chạy thật xa chạy đi chạy thật xa chỉ cần mỗi khi nào ngoảnh lại còn thấy nhau đừng để nhau rơi đôi bàn tay kia đừng buông lơi bám lấy anh đi này bám lấy anh đi này đừng để nhau rơi đôi bàn tay kia đừng buông lơi bám bám bám lấy anh đi này bám lấy anh đi nàyyy,rock-viet
Ngả Nghiêng (Ep Version) - Minh Đinh,https://nhac.vn/bai-hat/nga-nghieng-ep-version-minh-dinh-so88l87,cuối tháng 10 trời nhiều gió mây vội vàng thổi bay lay từng hàng cây đằng đông đằng tây ngả nghiêng ngả nghiêng rụng rời rụng rơi vẫn biết rằng lòng người rộng lắm mà có biết được ấm hay lạnh căm xuôi ngược ngàn năm ngả nghiêng ngả nghiêng vội vàng vội vã trái đất quay quanh mặt trời còn trái tim quay quanh một người đến trái đất còn ngả nghiêng thì trách sao trái tim lại ngả nghiêng ngả nghiêng mặt trăng ngả nghiêng mặt trời ngả nghiêng dòng sông ngả nghiêng hàng cây ngả nghiêng vì sao vụt qua cuộc đời ngả nghiêng cả lòng người lòng người ngả nghiêng theo gió vạn vật ngả nghiêng ngả nghiêng ngả nghiêng tạo hóa ban vật lúc đứng lúc nghiêng nghiêng rồi bất chợt ngả mình trước những điều thiêng liêng ai ban cho ta một thể xác không tàn tật và đồng thời cho ta một linh hồn tựa vạn vật bởi vì vạn vật đâu có gì khó đổi thay đều nghiêng nghiêng theo chiều gió thổi bay nghiêng đằng đông nghiêng đằng tây nghiêng dòng sông nghiêng hàng cây nghiêng hàng bông nghiêng tựa tầng mây nghiêng ngả luôn trục quay thôi ngừng kim đồng hồ đi ai ơi ngăn dòng nước xoáy cho ai bơi nhân loại chạy đua theo điều mới mặt trời cũng nghiêng bình minh rồi chiều tới có ai không ngả theo dòng đời theo chữ duyên lòng ai không thả theo gió trời mà giữ nguyên không tự sinh ra không tự biến mất lòng ta ngả theo điều gì ta cần nhất vẫn biết rằng lòng người rộng lắm mà có biết được ấm hay lạnh căm xuôi ngược ngàn năm ngả nghiêng ngả nghiêng vội vàng vội vã trái đất quay quanh mặt trời còn trái tim quay quanh một người đến trái đất còn ngả nghiêng thì trách sao trái tim lại ngả nghiêng ngả nghiêng mặt trăng ngả nghiêng mặt trời ngả nghiêng dòng sông ngả nghiêng hàng cây ngả nghiêng vì sao vụt qua cuộc đời ngả nghiêng cả lòng người lòng người ngả nghiêng theo gió vạn vật ngả nghiêng ngả nghiêng ngả nghiêng ngả nghiêng mặt trăng ngả nghiêng mặt trời ngả nghiêng dòng sông ngả nghiêng hàng cây ngả nghiêng vì sao vụt qua cuộc đời ngả nghiêng cả lòng người lòng người ngả nghiêng theo gió vạn vật ngả nghiêng ngả nghiêng ngả nghiêng có ai không ngả theo dòng đời theo chữ duyên lòng ai không thả theo gió trời mà giữ nguyên không tự sinh ra không tự biến mất lòng ta ngả theo điều gì ta cần nhất trái đất quay quanh mặt trời còn trái tim quay quanh một người đến trái đất còn ngả nghiêng thì trách sao trái tim lại ngả nghiêng,rock-viet
Sầu Riêng - Minh Đinh,https://nhac.vn/bai-hat/sau-rieng-minh-dinh-soAbAbe,sinh ra đã vừa tròn vừa gai sinh ra đã thật chẳng giống ai chẳng phải ngày một ngày hai đợi chờ một mai rồi người nào tới hái hương thơm nồng nàn tự nhiên hương thơm khiến nhiều người phát điên chẳng được một ngày nào bình yên quanh đây bao muộn phiền từ chính tên sầu riêng thương ta than ta mình ta ta thơm sao ai cũng lùi xa tội quá nên đành mình ta riêng ta chuyện chung vui chung riêng sầu sầu riêng sinh ra đã vừa tròn vừa gai sinh ra đã thật chẳng giống ai chẳng phải ngày một ngày hai đợi chờ một mai rồi người nào tới hái hương thơm nồng nàn tự nhiên hương thơm khiến nhiều người phát điên chẳng được một ngày nào bình yên quanh đây bao muộn phiền từ chính tên sầu riêng thương ta than ta mình ta ta thơm sao ai cũng lùi xa tội quá nên đành mình ta riêng ta chuyện chung vui chung riêng sầu sầu riêng ai cũng có riêng dăm ba múi sầu anh với tôi vẫn hay lôi ra để gặm nhấm mỗi khi đêm thâu rồi một đêm nhận ra sao mình không sẻ chia cùng nhau rồi một đêm nhận ra tại sao mình không sẻ chia cùng nhau thương ta than ta mình ta ta thơm sao ai cũng lùi xa tội quá nên đành mình ta riêng ta chuyện chung vui chung riêng sầu sầu riêng,rock-viet
Thiên Thần Về Giời - Minh Đinh,https://nhac.vn/bai-hat/thien-than-ve-gioi-minh-dinh-soWaNal,khát một giọt tình muốn say nụ cười xinh nụ cười thiên thần làm mình điên dần ôi khát được say mà giọt quái gì vậy toàn giọt đắng giọt cay mộng mơ đêm ngày tương tư hao gầy dù em không ở đây người từng quá xa ôi hôm qua em lại gần rồi em xua tan đi sự đơn côi em cho tôi biết vị đôi môi rồi lại vội vàng rời xa tôi ôi em quá xá là xa xa một lần rồi xa mãi ừ thì thôi tôi tin đời tôi và em từ nay thôi thế là thì thôi tôi tin đời tôi và em từ nay vẫn thế mà dù quá xa xa rồi ừ thì xa xa xa xa xa xa xa quá xa tôi mà này em có phải là thiên thần tôi gặp được em rồi rồi tôi tin vào duyên phận đời 7 tỉ người nếu không duyên sao lại gặp gặp gỡ thì nhiều nhưng không phận sao thành cặp trời sắp đặt rồi thì mau mau đi theo nhau chứ lo sợ gì về đau đau mai về sau hả em ơi ơi em ơi ơi em ơi ới ới ới bên nhau ngây ngô như đang học lớp vỡ lòng không may rơi đi chiếc kính em vỡ tròng ôi thôi rồi vỡ đôi rồi tình lại xa xôi trôi xa đôi ta giờ tôi biết ca thôi người từng quá xa ôi hôm qua em lại gần rồi em xua tan đi sự đơn côi em cho tôi biết vị đôi môi rồi lại vội vàng rời xa tôi ôi em quá xá là xa xa một lần rồi xa mãi ừ thì thôi tôi tin đời tôi và em từ nay thôi thế là thì thôi tôi tin đời tôi và em từ nay vẫn thế mà dù quá xa xa rồi ừ thì xa xa xa xa xa xa xa quá xa tôi mà xa lắm hằng đêm suy tư một mình em rằng trời mây trên cao tôi nhìn xem hằng đêm suy tư một mình tôi rằng gợn mây vừa ngang qua đời thôi rồi cứ bay đi bay đi về giời anh ơi em phải quay về thôi em phải quay về rồi bay đi về giời hằng đêm suy tư một mình em rằng trời mây trên cao tôi nhìn xem hằng đêm suy tư một mình tôi rằng gợn mây vừa ngang qua đời thôi rồi cứ bay đi bay đi về giời bay đi về giời bay đi về giời bay đi thiên thần về giời,rock-viet
"Mỗi Khi Đêm Về - Minh Đinh, Nger (MCK)",https://nhac.vn/bai-hat/moi-khi-dem-ve-minh-dinh-nger-mck-so4DqDb,chúng ta là gì thế ta là gì thế sao không cho nhau một cái tên ta đang làm gì thế đang làm gì thế ta đâu có như thế vào ban ngày ban ngày thì anh là con người khác lành chân thật và cũng chất phác nhưng sau khi hết ngày tất bật thì anh mới lộ bản chất thật để rồi ta lao tới như con thú hoang xơi mồi lao ố ô ồ ô anh chỉ yêu em mỗi khi màn đêm về khi vạn vật bị đè xuống bởi màu đen ôi rất yêu em yêu em khi màn đêm về giá như cuộc đời mãi là đêm anh đã bị nhầm lẫn giữa lust và love đánh đổi đến ba lần chắc là dớp ở giữa tình yêu và thù hận nhưng sẽ đến tìm nhau dù giận phình to những tâm tư đã quá khổ căn phòng trống 2 cá thể xõa lồ khi vách ngăn chẳng cản được ý thức não bộ trào ngược kí ức bản chất thực là những lời ta nói anh sống đời ma sói khi mọi chuyện qua rồi có trăng là bạn thân cắn vào cổ và nói em giống thế em không thể chống chế chẳng phải nạn nhân nhưng đừng nghĩ anh là thằng bệ rạc thằng tệ bạc nên ban ngày anh luôn phải chầu trực bởi mọi chuyện sẽ kết thúc mình sẽ chết lúc tia nắng đầu tiên xuyên thẳng qua bầu ngực anh chỉ yêu em mỗi khi màn đêm về khi vạn vật bị đè xuống bởi màu đen ôi rất yêu em yêu em khi màn đêm về giá như cuộc đời mãi là đêm thôi em đừng hỏi nữa khi mà ta còn đang dở bữa ông cha ta cũng đã nói trời đánh tránh đến miếng ăn thôi em đừng hỏi nữa khi mà ta còn đang dở bữa ông cha ta cũng đã nói trời đánh tránh đến miếng ăn thôi em đừng hỏi nữa khi mà ta còn đang dở bữa ông cha ta cũng đã nói trời đánh tránh đến miếng ăn thôi em đừng hỏi nữa khi mà ta còn đang dở bữa ông cha ta cũng đã nói trời đánh tránh đến miếng ăn anh chỉ yêu em mỗi khi màn đêm về khi vạn vật bị đè xuống bởi màu đen ôi rất yêu em yêu em khi màn đêm về giá như cuộc đời mãi là đêm ôi rất yêu em yêu em khi màn đêm về giá như cuộc đời mãi là đê,rock-viet
Cirle Of Life - The A Plan,https://nhac.vn/bai-hat/cirle-of-life-the-a-plan-soJ9dk5,bao bi hài chôn trong tâm điên dại cuộc đời ngắn dài cũng chỉ là cuộc chơi bao thăng trầm ôm trong tim âm thầm rồi cũng thế thôi chỉ còn lại mình tôi khi xung quanh chỉ có bóng đen kéo ta vào vực sâu của những nỗi đau ơn trên kia người là tình yêu cuối cùng thắp trong ta một tia hy vọng bao nhiêu đam mê bao nhiêu lần vỡ tan hồn lạc lối niềm tin mất rồi trong đôi tay người trả lại thân xác này chốn nhân gian rồi tan biến vào in this circle of life in this circle of life a different world within no sorrow is it what we all try to find in this life now i know why time is worthwhile i ve been wasting it away for ages khi xung quanh chỉ có bóng đen kéo ta vào vực sâu của những nỗi đau ơn trên kia người là tình yêu cuối cùng thắp trong ta một tia hy vọng bao nhiêu đam mê bao nhiêu lần vỡ tan hồn lạc lối niềm tin mất rồi trong đôi tay người trả lại thân xác này chốn nhân gian rồi tan biến vào are you here to pull me back to the ground tell me how can i control the other half of me through the dark see the light of the shelter for my soul khi xung quanh chỉ có bóng đen ấy kéo ta vào vực sâu nỗi đau chôn giấu ơn trên kia người là tình yêu cuối cùng thắp trong ta ngàn muôn tia sáng bao nhiêu đam mê bao nhiêu lần vỡ tan hồn lạc lối niềm tin mất rồi trong đôi tay người trả lại thân xác này chốn nhân gian rồi tan biến vào in this circle of life in this circle of life,rock-viet
Mặt Trời Không Lên - The A Plan,https://nhac.vn/bai-hat/mat-troi-khong-len-the-a-plan-sokomNp,tiếng nói cười vội vã tan nhanh khi chiều buông nắng ánh mắt người còn rực cháy bao nỗi đam mê ngày hôm qua mới bắt đầu rồi vụt tắt khiến con tim rưng rưng tiếng khóc cúi xuống nguyện cầu mẹ đất thân yêu cho con thêm sức sống hà ha hà há i da i da ì dà người ra đi dòng sông ngủ quên mặt trời không lên tia nắng theo hoàng hôn xa mờ xa cuối chân trời chơi vơi ai đứng bên hiên nghe lời kinh thổn thức thổn thức vì lời hứa mà nay đã xa mãi cố dối lòng ngày đó ta sẽ quay về nơi ấy nhắm mắt lại và chợt thấy bóng dáng ai đang về qua đây ký ức tìm về chốn xa xôi sương mờ giăng lối bỗng thức dậy và chợt thấy ta đã phiêu du vào cơn mơ hà hà hà há i dã i dã ì dà người ra đi dòng sông ngủ quên mặt trời không lên tia nắng theo hoàng hôn xa mờ xa cuối chân trời chơi với ai đứng bên hiên nghe lời kinh thổn thức thổn thức vì lời hứa mà nay đã xa mãi,rock-viet
Thời Gian Để Yêu - Whee!,https://nhac.vn/bai-hat/thoi-gian-de-yeu-whee-soxl7pz,em ơi người ta thường nói yêu thương từ những giây phút đầu là mãi mãi chẳng thể nào quên em xinh đep như vì sao mang trao tặng anh bao nhiêu nỗi niềm anh giữ lấy để nhớ về em từng đêm dài trôi nhanh anh viết lên khúc nhạc vì thấy tim mình xốn xang chính em làm cho lòng anh say mê đến vậy còn chần chờ chi tình yêu đến rồi cùng nắng ấm ánh mắt em rạng ngời liệu rằng em muốn anh bên em trọn đời chẳng còn bao nhiêu thời gian để yêu ngày mai sẽ cất bước xa tận chân trời gần lại cho bối rối tan nhẹ trên môi chỉ cần nhau thôi em ơi người ta thường nói yêu thương từ những phút ban đầu là mãi mãi chẳng thể lãng quên em xinh đep như vì sao mang trao tặng anh bao nhiêu nỗi niềm anh giữ lấy để nhớ đến em giờ đây chỉ mong được mãi bên em cùng say những giấc mơ êm đêm thời gian chính là liều thuốc trái tim tình yêu xóa tan đi hết đêm đen đọng trên ánh mắt đôi môi mềm ánh sáng ngập tràn đánh thức dịu dàng nơi anh,rock-viet
