title,url,lyric,genre
Chơi Cả Mùa Hè - Bé Bảo Hân,https://nhac.vn/bai-hat/choi-ca-mua-he-be-bao-han-sod33ze,hè lại về lòng em sao vui ghê không ôn thi chẳng phải học bài không ai la và không ai kêu ca được thức khuya được ngủ thêm hè lại về lòng em sao vui ghê xem phim xong thì em chơi trong phòng ăn cơm xong thì em đi đá bóng đi ăn kem thật vui ôi vui quá thích nhất là được nghỉ ở quê nhà có ông bà và chú bác cô dì cứ tha hồ được hái trái leo cây chơi ô quan cùng với lũ trẻ cứ chiều chiều lại đón gió thả diều chán tắm sông thì bắt ếch trên đồng chán năm mười thì kể những chuyện cười em mong sao hè mãi tuyệt vời thật vui,thieu-nhi
Bàn Tay Của Cha - Bé Mỹ Uyên,https://nhac.vn/bai-hat/ban-tay-cua-cha-be-my-uyen-soxllPw,bàn tay cha nhẹ nhàng cầm lấy tay con từ ngày chào đời cho đến lúc lớn khôn đôi bàn tay ấm áp đã in sâu vào trí nhớ trong những kỷ niệm của ngày thơ ấu cầm tay cha bỗng nhiên nước mắt tuôn rơi vì con thấy hạnh phúc và thấy xót xa đôi bàn tay vất vả đã chai sần và thô ráp như một cánh đồng sau lúc trổ bông con biết cha dành cho con tất cả những gì quý giá những gì cha nghĩ tốt cho con đoạn đường mai sau những vết chai sần có lẽ là những nhọc nhằn cha mang nặng nề trên lưng và cả đôi vai của cha con ước mình được giữ mãi những phút yên bình bên cha chỉ cần bên cha con sẽ chẳng sợ gì phía trước con ước mình được ôm cha như khi thơ bé xưa kia nụ cười giòn tan cả buổi chiều vàng nắng tươi hoh hoh hoh,thieu-nhi
Chị Thương Em Lắm - Bé Nguyên Khang,https://nhac.vn/bai-hat/chi-thuong-em-lam-be-nguyen-khang-soLNNqx,lúc ba vắng nhà chị chơi với em lúc mẹ vắng nhà chị chăm em nhé bé ơi chớ khóc đến khi mẹ về có mua bánh phồng chị em mình ăn bé ngoan của chị đừng leo quá cao đến khi té rồi là đau lắm đấy bé ơi chớ có quấy phá mẹ buồn bé ơi hãy vâng lời ai cũng thương là la la la lá lá la la la chị hay thương em nhé và thương nhất nhà là la la la lá lá la la la chị em ta ca hát và luôn bên nhau,thieu-nhi
Bà Ơi! - Bé Diệu Anh,https://nhac.vn/bai-hat/ba-oi-be-dieu-anh-sooxxP9,bà có nụ cười rất tươi và rất hiền bà có giọng nói ấm như một bà tiên mỗi lúc con buồn sẽ được bà vỗ về mỗi lúc con khóc sẽ được bà yêu thương đừng rời xa chúng con con chỉ muốn ở mãi bên bà đừng rời xa chúng con con nhớ lắm bà ơi nhớ những lời dạy của bà học thật giỏi và ngoan bà dạy con đừng nói dối phải vâng lời mẹ cha nhớ những câu chuyện của bà bà thường kể từng đêm mai này con lớn khôn con vẫn nhớ bà ơi,thieu-nhi
Ba Thật Là Giỏi! - Bé Diệu Anh,https://nhac.vn/bai-hat/ba-that-la-gioi-be-dieu-anh-soGLLxE,ba có phải kiến trúc sư sao ba biết sửa nhà cho mẹ ba có phải bác sĩ không mà sao biết con đang bệnh gì ba có phải võ sĩ không sao ba bế con hoài không mệt ba có phải là giáo sư mà sao biết mọi thứ trên đời trong lòng con ba giỏi như siêu nhân trong lòng con ba mạnh như siêu nhân ba có phải cảnh sát không sao không thấy ba sợ con gì ba có phải thầy giáo không sao ba biết chỉ con học bài ba có phải người máy không sao không thấy ba bệnh bao giờ ba có phải đàu bếp không mẹ đi vắng vẫn biết nấu ăn trong lòng con ba giỏi như siêu nhân trong lòng con ba mạnh như siêu nhân,thieu-nhi
Cờ Đỏ Sao Vàng - Bé Diệu Anh,https://nhac.vn/bai-hat/co-do-sao-vang-be-dieu-anh-sobVVvW,sáng thứ hai đầu tuần chúng em ra chào cờ em đứng ngiêm nghiêm trang hát quốc ca ca vang sáng thứ hai đầu tuần chúng em ra chào cờ ttrong nắng tươi ban mai thật ấm áp cờ đỏ sao vàng ở giữa sân trường cờ đỏ sao vang tung bay phấp phới càng hát quốc ca nhanh hơn đều hơn và nhớ năm điều bác đã dạy em học giỏi chăm ngoan đoàn kết bạn bè lễ phép cô thầy và luôn cố gắng dũng cảm thật thà yêu thương mẹ cha và phải yêu thương tổ quốc của ta,thieu-nhi
Điệu Múa Thiên Nga - Bé Diệu Anh,https://nhac.vn/bai-hat/dieu-mua-thien-nga-be-dieu-anh-sod33zR,thiên nga ở trong hồ nhẹ nhàng như mây trôi mặt hồ tựa gương soi trong veo giữa mùa thu thiên nga ngỡ như là chẳng nhọc nhằn chi cả nào ngờ ở dưới nước đôi chân phải khua nhanh và em cũng thế phải tập siêng năng điệu múa này phải tập siêng năng qua mỗi ngày để điệu múa ấy thật là hay và em sẽ múa nhẹ nhàng như mây trôi giữa trời nhẹ nhàng như bao chiếc lá rơi và thật nhẹ nhàng như thiên nga,thieu-nhi
Halloween - Bé Diệu Anh,https://nhac.vn/bai-hat/halloween-be-dieu-anh-soQzz30,nào mình cùng hóa trang thành siêu nhân thành batman thành spiderman thành bí ngô thành con ma và thành ninja nào mình cùng hóa trang thành elsa bạch tuyết nha thành ciderella thành kitty thành barbie và thành connie halloween là halloween sao ai cũng thật là halloween vui quá halloween là halloween vui chơi với bạn bè halloween vui quá hóa trang nào,thieu-nhi
Cảm Ơn Chú Bộ Đội - Bé Khánh Ngọc,https://nhac.vn/bai-hat/cam-on-chu-bo-doi-be-khanh-ngoc-soXWWoN,ngày ngày nơi biên cương luôn có chú bộ đội đứng gác ngoài rừng già mưa nắng chẳng ngại gì chú bộ đội hải quân đứng canh ngoài đảo xa chẳng sợ chi phong ba vẫn đứng hiên ngang giữ bình yên quê hương cho lúa thóc đầy đồng chúng em được học hành ai cũng nở nụ cười cô dạy em đứng nghiêm giơ tay chào cảm ơn mừng chú bộ đội việt nam,thieu-nhi
Con Yêu Ai Hơn - Bé Phương Huệ Nhi,https://nhac.vn/bai-hat/con-yeu-ai-hon-be-phuong-hue-nhi-soOvvOA,trong gia đình các con yêu ai nhiều hơn mỗi khi mẹ hỏi chẳng biết phải nói thế nào là mẹ phải không trong gia đình các con yêu ai nhiều hơn mỗi khi cha hỏi chẳng biết phải nói thế nào là cha phải không bởi vì con yêu cả những lời mẹ ru yêu đôi mắt dịu hiền mỗi lần mẹ nhìn con yêu mái tóc thơm như cả một vườn hoa thơm nên cũng yêu mẹ bởi vì con yêu những lời dạy của cha yêu đôi cánh tay cha vững vàng dìu con đi yêu những lúc khi cha kể chuyện con nghe và con yêu cha vậy yêu cả hai,thieu-nhi
Happy Birthday To You - Bé Phương Huệ Nhi,https://nhac.vn/bai-hat/happy-birthday-to-you-be-phuong-hue-nhi-so1aaEx,nến lung linh rạng ngời những lời chúc cho sinh nhật vui phút giây ôi tuyệt vời hãy cười lên nào bạn tôi ơi đón yêu thương mọi người dành tất cả cho bạn mà thôi đón thêm bao món quà mừng bạn qua được một tuổi mới happy birthday to you happy birthday to you happy birthday to you happy birthday to you,thieu-nhi
Ăn Cơm Cho Thật Ngoan - Bé Suri Kim Anh,https://nhac.vn/bai-hat/an-com-cho-that-ngoan-be-suri-kim-anh-soRllmP,ăn cơm cho thật ngoan đừng cứ mãi khóc nhè mẹ cả ngày vất vả đi chợ và nấu ăn ăn cơm cho thật ngoan đừng rơi rớt trên bàn hạt gạo là công sức của nhiều bác nông dân ăn cơm cho thật ngoan hãy nhai kĩ nhai chậm ăn thịt và ăn cá ăn cả với rau xanh ăn cơm cho thật ngoan cho mấy đứa ốm ghen tập ngồi ngay như thế vậy mới là bé ngoan,thieu-nhi
Anh Hai - Bé Suri Kim Anh,https://nhac.vn/bai-hat/anh-hai-be-suri-kim-anh-sojnnmj,mẹ bảo anh lớn nên phải nhường nhịn từ đồ chơi hay là đồ ăn ngon đừng thắng thua với những việc cỏn con mới xứng đáng là anh hai mẹ bảo em khóc anh phải dỗ dành vì là anh hai nên phải thương em đừng mắng em nhé nhẹ nhàng với em mới xứng đáng là anh hai mỗi khi em sợ hãi anh bên cạnh mỗi khi em vấp ngã anh đỡ dậy mỗi khi cần gì đấy có đôi tay anh này mẹ bảo anh phải siêng năng học bài vì là anh hai nên phải noi gương và chỉ em biết đâu là đúng sai mới xứng đáng là anh hai mẹ bảo hai đứa anh em một nhà dù thời gian qua cũng phải thương nhau đừng có trách móc tranh giành với nhau để cho mẹ buồn mai sau,thieu-nhi
Bà Ôm Vào Lòng - Bé Suri Kim Anh,https://nhac.vn/bai-hat/ba-om-vao-long-be-suri-kim-anh-soEooBb,bà ơi cháu yêu bà bà ơi cháu nhớ bà mỗi khi cháu bị mẹ đánh đến đây bà ôm vào lòng từ ngày cháu đi học ở nhà bà ngóng trông mỗi khi cháu buồn và khóc đến đây bà ôm vào lòng bà nói rằng thôi cháu đừng khóc và đừng buồn ở giữa cuộc đời thì điều đó là bình thường ở đây có bà đến đây bà ôm vào lòng,thieu-nhi
Bé Ngoan Uống Thuốc - Bé Suri Kim Anh,https://nhac.vn/bai-hat/be-ngoan-uong-thuoc-be-suri-kim-anh-soAbbje,bé hết ho chưa uống thuốc ngoan nha hết hắt xì và hết sốt lừ đừ thuốc đắng thật mà nhưng cứ uống nè uống hết rồi thì bé sẽ khỏe ngay uống thuốc xong ăn bát cháo thật đầy ngủ giấc no say đến lúc tỉnh dậy bé hết bệnh rồi đi chơi với mẹ bé hết bệnh rồi ca vang khắp nhà chiến nón mang theo những lúc đi chơi áo khoác choàng vào nếu thấy mưa rơi có gió lạnh thì quàng khăn ấm vào lỡ bé bệnh rồi mẹ lo biết bao nhớ lúc ăn cơm phải có rau xanh nhớ uống cam tươi nước ấm hàng ngày trước lúc vào giường một ly sữa đầy để bé khỏe mạnh cao lớn hơn nhiều,thieu-nhi
Bữa Cơm Mẹ Nấu - Bé Suri Kim Anh,https://nhac.vn/bai-hat/bua-com-me-nau-be-suri-kim-anh-sowzzQv,mẹ ơi mỗi khi mẹ nấu ăn mùi thơm làm con lăn xuống đây nhìn ba ngoài kia ngồi liếm mép chắc chắn hôm nay được ăn ngon mẹ ơi giòn tan con cá chiên gà ơi thịt ơi thơm quá đi còn rau thật tươi và xanh mướt thích quá đi thôi nồi canh chua mẹ ơi vì sao những món ăn mẹ làm lại ngon như thế kia làm ba và con ngồi ăn mãi tấm tắc khen ngon thật là ngon mẹ ơi phải chăng mẹ đã nấu với cả yêu thương bữa cơm này,thieu-nhi
Búp Bê Barbie - Bé Suri Kim Anh,https://nhac.vn/bai-hat/bup-be-barbie-be-suri-kim-anh-soaRRm9,ơi búp bê barbie mẹ tặng em khi em thêm tuổi mới ôi búp bê thật xinh nàng công chúa với mái tóc dài đôi mắt xanh trong veo nhìn theo em mỉm cười với em em thích ngồi chải tóc mặc áo mới cho bé mỗi ngày ôi búp bê barbie đẹp như trong câu chuyện thần tiên bà vẫn hay thường kể nàng công chúa lạc giữa khu rừng em rất thương barbie phải nhắc nhở em đừng mãi chơi em phải vâng lời nhé đừng đi đâu lạc mất trong rừng,thieu-nhi
Cầu Vồng Bảy Sắc - Bé Suri Kim Anh,https://nhac.vn/bai-hat/cau-vong-bay-sac-be-suri-kim-anh-so4DDEb,cầu vồng của bé đẹp như cổ tích này lấp lánh lung linh treo những vì sao cầu vồng của bé đẹp tươi bảy sắc màu bé hãy tô màu làm sao cho đúng đỏ như hoa hồng tươi màu cam như nắng chiều vàng như hoa mai xanh tươi màu lá biếc xanh như trời cao màu chàm như biển sâu và một màu tím như cánh hoa phong lan,thieu-nhi
